Model,Pipeline,auc_mean,auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,recall_0_mean,recall_0_std,f1_mean,f1_std,threshold_mean,threshold_std
FastHGTConv,CTGAN,0.9183,0.0174,0.8719,0.0246,0.7994,0.043,0.9325,0.0296,0.8277,0.0488,0.8599,0.0233,0.526,0.0518
FastHGTConv,No Balancing,0.925,0.0111,0.8748,0.0228,0.8196,0.0268,0.9008,0.0296,0.856,0.0235,0.8581,0.0253,0.41,0.0579
FastHGTConv,SMOTE,0.9338,0.0141,0.8748,0.0171,0.8369,0.0404,0.8762,0.0507,0.874,0.0379,0.8545,0.0198,0.468,0.0928
HeteroGATv2,CTGAN,0.9232,0.0093,0.8793,0.0099,0.835,0.024,0.8898,0.035,0.8714,0.0262,0.8609,0.0123,0.55,0.0316
HeteroGATv2,No Balancing,0.9215,0.0178,0.8852,0.0229,0.8351,0.0328,0.9076,0.0483,0.8688,0.034,0.869,0.0273,0.49,0.0458
HeteroGATv2,SMOTE,0.9207,0.0149,0.8792,0.0283,0.8233,0.0571,0.9148,0.0322,0.8534,0.0602,0.865,0.0258,0.512,0.0829
HyperTMO,CTGAN,0.807,0.0315,0.7408,0.0415,0.6613,0.0582,0.8051,0.0406,0.6943,0.0841,0.7241,0.03,0.528,0.0164
HyperTMO,No Balancing,0.8595,0.0447,0.8123,0.0469,0.7595,0.0471,0.8124,0.1092,0.8122,0.0505,0.7822,0.064,0.492,0.0823
HyperTMO,SMOTE,0.8393,0.0173,0.7884,0.021,0.7378,0.0322,0.7729,0.0497,0.7994,0.0365,0.754,0.0263,0.496,0.0439
MOGAT,CTGAN,0.9144,0.0095,0.8703,0.0126,0.8141,0.0193,0.8972,0.0318,0.8508,0.0219,0.8532,0.0141,0.576,0.0404
MOGAT,No Balancing,0.8893,0.0327,0.8405,0.0593,0.7787,0.0774,0.879,0.0796,0.8124,0.0918,0.8229,0.0612,0.486,0.0546
MOGAT,SMOTE,0.9091,0.0284,0.8569,0.0422,0.8032,0.0335,0.8756,0.1207,0.8431,0.0423,0.8339,0.0637,0.476,0.0404
RGCN,CTGAN,0.8812,0.0158,0.8361,0.0297,0.7662,0.0442,0.8829,0.0508,0.8019,0.0519,0.8193,0.0311,0.488,0.0622
RGCN,No Balancing,0.8792,0.0248,0.8212,0.0251,0.7339,0.0305,0.9043,0.0298,0.761,0.0398,0.8098,0.0235,0.452,0.054
RGCN,SMOTE,0.8945,0.0295,0.851,0.0273,0.7862,0.0478,0.8935,0.0253,0.82,0.0601,0.8353,0.0217,0.518,0.0438
SGNN,CTGAN,0.8651,0.0359,0.8287,0.0392,0.7808,0.0426,0.8264,0.1016,0.8303,0.0442,0.8001,0.0557,0.532,0.0482
SGNN,No Balancing,0.8799,0.0293,0.8228,0.0464,0.7487,0.0603,0.8761,0.0389,0.7843,0.0605,0.8067,0.0465,0.47,0.0524
SGNN,SMOTE,0.8742,0.0232,0.8257,0.0376,0.759,0.0564,0.8653,0.0089,0.797,0.0641,0.8078,0.0332,0.526,0.0503
VEGN,CTGAN,0.9112,0.0088,0.8674,0.0133,0.7998,0.0245,0.9148,0.0343,0.8328,0.0309,0.8528,0.0145,0.534,0.0416
VEGN,No Balancing,0.9163,0.0251,0.8763,0.0264,0.8189,0.048,0.9112,0.0402,0.8507,0.0525,0.8613,0.0262,0.474,0.0321
VEGN,SMOTE,0.9206,0.0161,0.8748,0.0263,0.8425,0.0343,0.8649,0.0521,0.8816,0.0328,0.8527,0.0325,0.498,0.0432
