Model,Pipeline,Feature,Feature_Type,AUC_Drop,Base_AUC
HeteroGATv2,No Balancing,IDH1,Gene,0.23986880466472305,0.9272594752186589
HeteroGATv2,No Balancing,TP53,Gene,0.005087463556851324,0.9272594752186589
HeteroGATv2,No Balancing,ATRX,Gene,0.0024927113702624014,0.9272594752186589
HeteroGATv2,No Balancing,PTEN,Gene,0.009373177842565684,0.9272594752186589
HeteroGATv2,No Balancing,EGFR,Gene,0.009635568513119586,0.9272594752186589
HeteroGATv2,No Balancing,CIC,Gene,0.0242857142857143,0.9272594752186589
HeteroGATv2,No Balancing,MUC16,Gene,-0.00027696793002913723,0.9272594752186589
HeteroGATv2,No Balancing,PIK3CA,Gene,0.005874635568513165,0.9272594752186589
HeteroGATv2,No Balancing,NF1,Gene,-0.0016180758017492857,0.9272594752186589
HeteroGATv2,No Balancing,PIK3R1,Gene,0.002332361516035009,0.9272594752186589
HeteroGATv2,No Balancing,FUBP1,Gene,0.003206997084548102,0.9272594752186589
HeteroGATv2,No Balancing,RB1,Gene,0.0016909620991253371,0.9272594752186589
HeteroGATv2,No Balancing,NOTCH1,Gene,0.003994169096209898,0.9272594752186589
HeteroGATv2,No Balancing,BCOR,Gene,-0.001341107871720093,0.9272594752186589
HeteroGATv2,No Balancing,CSMD3,Gene,0.0010932944606414142,0.9272594752186589
HeteroGATv2,No Balancing,SMARCA4,Gene,0.0017346938775509746,0.9272594752186589
HeteroGATv2,No Balancing,GRIN2A,Gene,0.0023032069970845503,0.9272594752186589
HeteroGATv2,No Balancing,IDH2,Gene,0.003046647230320676,0.9272594752186589
HeteroGATv2,No Balancing,FAT4,Gene,0.0001749271137026609,0.9272594752186589
HeteroGATv2,No Balancing,PDGFRA,Gene,4.373177842563747e-05,0.9272594752186589
HeteroGATv2,No Balancing,Age_at_diagnosis,Clinical,0.030102040816326538,0.9272594752186589
HeteroGATv2,No Balancing,Gender,Clinical,-0.0019096209912536244,0.9272594752186589
HeteroGATv2,No Balancing,Race,Clinical,0.004358600583090388,0.9272594752186589
HeteroGATv2,SMOTE,IDH1,Gene,0.3108746355685132,0.9142857142857144
HeteroGATv2,SMOTE,TP53,Gene,0.010320699708454895,0.9142857142857144
HeteroGATv2,SMOTE,ATRX,Gene,0.02763848396501465,0.9142857142857144
HeteroGATv2,SMOTE,PTEN,Gene,0.0036297376093295418,0.9142857142857144
HeteroGATv2,SMOTE,EGFR,Gene,0.005160349854227486,0.9142857142857144
HeteroGATv2,SMOTE,CIC,Gene,0.013804664723032134,0.9142857142857144
HeteroGATv2,SMOTE,MUC16,Gene,0.0018075801749271592,0.9142857142857144
HeteroGATv2,SMOTE,PIK3CA,Gene,0.011661807580174998,0.9142857142857144
HeteroGATv2,SMOTE,NF1,Gene,-0.002784256559766696,0.9142857142857144
HeteroGATv2,SMOTE,PIK3R1,Gene,0.0009329446064140657,0.9142857142857144
HeteroGATv2,SMOTE,FUBP1,Gene,0.004431486880466506,0.9142857142857144
HeteroGATv2,SMOTE,RB1,Gene,7.288629737612906e-05,0.9142857142857144
HeteroGATv2,SMOTE,NOTCH1,Gene,0.024329446064140003,0.9142857142857144
HeteroGATv2,SMOTE,BCOR,Gene,-0.0055393586005829994,0.9142857142857144
HeteroGATv2,SMOTE,CSMD3,Gene,0.0013119533527697568,0.9142857142857144
HeteroGATv2,SMOTE,SMARCA4,Gene,0.00470845481049571,0.9142857142857144
HeteroGATv2,SMOTE,GRIN2A,Gene,0.0008892128279883949,0.9142857142857144
HeteroGATv2,SMOTE,IDH2,Gene,0.00998542274052484,0.9142857142857144
HeteroGATv2,SMOTE,FAT4,Gene,-0.0007580174927113159,0.9142857142857144
HeteroGATv2,SMOTE,PDGFRA,Gene,-0.0001603498542273374,0.9142857142857144
HeteroGATv2,SMOTE,Age_at_diagnosis,Clinical,0.031938775510204145,0.9142857142857144
HeteroGATv2,SMOTE,Gender,Clinical,0.007303206997084621,0.9142857142857144
HeteroGATv2,SMOTE,Race,Clinical,0.0036005830903790836,0.9142857142857144
HeteroGATv2,CTGAN,IDH1,Gene,0.1898833819241983,0.9233236151603499
HeteroGATv2,CTGAN,TP53,Gene,0.0005393586005830953,0.9233236151603499
HeteroGATv2,CTGAN,ATRX,Gene,0.0010058309037901281,0.9233236151603499
HeteroGATv2,CTGAN,PTEN,Gene,0.0030029154518950497,0.9233236151603499
HeteroGATv2,CTGAN,EGFR,Gene,0.006938775510204098,0.9233236151603499
HeteroGATv2,CTGAN,CIC,Gene,0.022346938775510205,0.9233236151603499
HeteroGATv2,CTGAN,MUC16,Gene,0.0017346938775510078,0.9233236151603499
HeteroGATv2,CTGAN,PIK3CA,Gene,0.003979591836734686,0.9233236151603499
HeteroGATv2,CTGAN,NF1,Gene,-0.0001603498542273818,0.9233236151603499
HeteroGATv2,CTGAN,PIK3R1,Gene,-0.0003498542274052663,0.9233236151603499
HeteroGATv2,CTGAN,FUBP1,Gene,0.00034985422740527736,0.9233236151603499
HeteroGATv2,CTGAN,RB1,Gene,0.0023615160349854556,0.9233236151603499
HeteroGATv2,CTGAN,NOTCH1,Gene,0.0018804664723032216,0.9233236151603499
HeteroGATv2,CTGAN,BCOR,Gene,-0.00017492711370259428,0.9233236151603499
HeteroGATv2,CTGAN,CSMD3,Gene,0.0010204081632653294,0.9233236151603499
HeteroGATv2,CTGAN,SMARCA4,Gene,0.0,0.9233236151603499
HeteroGATv2,CTGAN,GRIN2A,Gene,0.0009037900874636073,0.9233236151603499
HeteroGATv2,CTGAN,IDH2,Gene,0.0049708454810495906,0.9233236151603499
HeteroGATv2,CTGAN,FAT4,Gene,4.373177842569298e-05,0.9233236151603499
HeteroGATv2,CTGAN,PDGFRA,Gene,0.00020408163265306367,0.9233236151603499
HeteroGATv2,CTGAN,Age_at_diagnosis,Clinical,0.06397959183673471,0.9233236151603499
HeteroGATv2,CTGAN,Gender,Clinical,-0.002186588921282773,0.9233236151603499
HeteroGATv2,CTGAN,Race,Clinical,0.0030466472303207204,0.9233236151603499
MOGAT,No Balancing,IDH1,Gene,0.2670262390670554,0.930466472303207
MOGAT,No Balancing,TP53,Gene,0.002244897959183667,0.930466472303207
MOGAT,No Balancing,ATRX,Gene,0.00029154518950438304,0.930466472303207
MOGAT,No Balancing,PTEN,Gene,0.005699708454810515,0.930466472303207
MOGAT,No Balancing,EGFR,Gene,0.007303206997084533,0.930466472303207
MOGAT,No Balancing,CIC,Gene,0.00944606413994169,0.930466472303207
MOGAT,No Balancing,MUC16,Gene,0.0017346938775509968,0.930466472303207
MOGAT,No Balancing,PIK3CA,Gene,0.004358600583090388,0.930466472303207
MOGAT,No Balancing,NF1,Gene,-0.0027113702623906668,0.930466472303207
MOGAT,No Balancing,PIK3R1,Gene,0.0015306122448979441,0.930466472303207
MOGAT,No Balancing,FUBP1,Gene,0.00555393586005829,0.930466472303207
MOGAT,No Balancing,RB1,Gene,0.00040816326530612734,0.930466472303207
MOGAT,No Balancing,NOTCH1,Gene,0.009781341107871721,0.930466472303207
MOGAT,No Balancing,BCOR,Gene,-0.000641399416909616,0.930466472303207
MOGAT,No Balancing,CSMD3,Gene,0.0024052478134110713,0.930466472303207
MOGAT,No Balancing,SMARCA4,Gene,0.0011516034985422862,0.930466472303207
MOGAT,No Balancing,GRIN2A,Gene,0.0018513119533527967,0.930466472303207
MOGAT,No Balancing,IDH2,Gene,0.005306122448979577,0.930466472303207
MOGAT,No Balancing,FAT4,Gene,0.00024781341107871224,0.930466472303207
MOGAT,No Balancing,PDGFRA,Gene,-0.0004956268221574355,0.930466472303207
MOGAT,No Balancing,Age_at_diagnosis,Clinical,0.017288629737609352,0.930466472303207
MOGAT,No Balancing,Gender,Clinical,0.0016909620991253705,0.930466472303207
MOGAT,No Balancing,Race,Clinical,0.0030758017492711343,0.930466472303207
MOGAT,SMOTE,IDH1,Gene,0.3032944606413993,0.9182215743440233
MOGAT,SMOTE,TP53,Gene,0.013236151603498503,0.9182215743440233
MOGAT,SMOTE,ATRX,Gene,0.016107871720116584,0.9182215743440233
MOGAT,SMOTE,PTEN,Gene,0.005189504373177845,0.9182215743440233
MOGAT,SMOTE,EGFR,Gene,0.004912536443148674,0.9182215743440233
MOGAT,SMOTE,CIC,Gene,0.022813411078717184,0.9182215743440233
MOGAT,SMOTE,MUC16,Gene,-0.0023032069970845724,0.9182215743440233
MOGAT,SMOTE,PIK3CA,Gene,0.009562682215743402,0.9182215743440233
MOGAT,SMOTE,NF1,Gene,-0.003119533527696827,0.9182215743440233
MOGAT,SMOTE,PIK3R1,Gene,0.0036443148688046546,0.9182215743440233
MOGAT,SMOTE,FUBP1,Gene,0.005131195335276895,0.9182215743440233
MOGAT,SMOTE,RB1,Gene,-0.0001457725947522248,0.9182215743440233
MOGAT,SMOTE,NOTCH1,Gene,0.020728862973760854,0.9182215743440233
MOGAT,SMOTE,BCOR,Gene,-0.002040816326530659,0.9182215743440233
MOGAT,SMOTE,CSMD3,Gene,8.746355685129714e-05,0.9182215743440233
MOGAT,SMOTE,SMARCA4,Gene,0.004387755102040769,0.9182215743440233
MOGAT,SMOTE,GRIN2A,Gene,0.0016034985422740179,0.9182215743440233
MOGAT,SMOTE,IDH2,Gene,0.006545189504373139,0.9182215743440233
MOGAT,SMOTE,FAT4,Gene,-0.0007434402332362033,0.9182215743440233
MOGAT,SMOTE,PDGFRA,Gene,-0.0005830903790087661,0.9182215743440233
MOGAT,SMOTE,Age_at_diagnosis,Clinical,0.030189504373177835,0.9182215743440233
MOGAT,SMOTE,Gender,Clinical,0.0012390670553935502,0.9182215743440233
MOGAT,SMOTE,Race,Clinical,0.0020699708454810285,0.9182215743440233
MOGAT,CTGAN,IDH1,Gene,0.15844023323615164,0.8997084548104957
MOGAT,CTGAN,TP53,Gene,0.005379008746355695,0.8997084548104957
MOGAT,CTGAN,ATRX,Gene,0.018411078717201178,0.8997084548104957
MOGAT,CTGAN,PTEN,Gene,0.02524781341107877,0.8997084548104957
MOGAT,CTGAN,EGFR,Gene,0.006574344023323642,0.8997084548104957
MOGAT,CTGAN,CIC,Gene,0.012346938775510219,0.8997084548104957
MOGAT,CTGAN,MUC16,Gene,0.0029883381924198592,0.8997084548104957
MOGAT,CTGAN,PIK3CA,Gene,0.011822157434402358,0.8997084548104957
MOGAT,CTGAN,NF1,Gene,-0.002230320699708399,0.8997084548104957
MOGAT,CTGAN,PIK3R1,Gene,0.001297376093294489,0.8997084548104957
MOGAT,CTGAN,FUBP1,Gene,0.0013848396501458305,0.8997084548104957
MOGAT,CTGAN,RB1,Gene,0.004183673469387794,0.8997084548104957
MOGAT,CTGAN,NOTCH1,Gene,0.002201166180758074,0.8997084548104957
MOGAT,CTGAN,BCOR,Gene,0.00023323615160355526,0.8997084548104957
MOGAT,CTGAN,CSMD3,Gene,0.0012682215743440861,0.8997084548104957
MOGAT,CTGAN,SMARCA4,Gene,-0.0010204081632652628,0.8997084548104957
MOGAT,CTGAN,GRIN2A,Gene,0.004329446064139963,0.8997084548104957
MOGAT,CTGAN,IDH2,Gene,0.003935860058309082,0.8997084548104957
MOGAT,CTGAN,FAT4,Gene,0.00037900874635570235,0.8997084548104957
MOGAT,CTGAN,PDGFRA,Gene,-0.00061224489795918,0.8997084548104957
MOGAT,CTGAN,Age_at_diagnosis,Clinical,0.058090379008746376,0.8997084548104957
MOGAT,CTGAN,Gender,Clinical,-0.005379008746355685,0.8997084548104957
MOGAT,CTGAN,Race,Clinical,0.0011953352769679237,0.8997084548104957
HyperTMO,No Balancing,IDH1,Gene,0.019023323615160303,0.8587463556851311
