Model,Pipeline,Dataset,Threshold,AUC,Accuracy,Precision,Recall_1,Recall_0,F1
HeteroGATv2,No Balancing,TCGA Test,0.49,0.9273,0.8512,0.8,0.8571,0.8469,0.8276
HeteroGATv2,No Balancing,CGGA,0.49,0.803,0.6748,0.5287,0.8137,0.5978,0.6409
MOGAT,No Balancing,TCGA Test,0.486,0.9305,0.875,0.8025,0.9286,0.8367,0.8609
MOGAT,No Balancing,CGGA,0.486,0.7708,0.6853,0.5411,0.7745,0.6359,0.6371
HyperTMO,No Balancing,TCGA Test,0.492,0.8587,0.7976,0.7432,0.7857,0.8061,0.7639
HyperTMO,No Balancing,CGGA,0.492,0.6653,0.542,0.4152,0.6961,0.4565,0.5201
RGCN,No Balancing,TCGA Test,0.452,0.8749,0.7976,0.7045,0.8857,0.7347,0.7848
RGCN,No Balancing,CGGA,0.452,0.7138,0.5559,0.4317,0.7745,0.4348,0.5544
VEGN,No Balancing,TCGA Test,0.474,0.9213,0.8452,0.775,0.8857,0.8163,0.8267
VEGN,No Balancing,CGGA,0.474,0.7429,0.6643,0.5195,0.7843,0.5978,0.625
FastHGTConv,No Balancing,TCGA Test,0.41,0.8971,0.8274,0.7303,0.9286,0.7551,0.8176
FastHGTConv,No Balancing,CGGA,0.41,0.6462,0.5385,0.4299,0.902,0.337,0.5823
SGNN,No Balancing,TCGA Test,0.47,0.8526,0.6488,0.5455,0.9429,0.4388,0.6911
SGNN,No Balancing,CGGA,0.47,0.6708,0.4056,0.3692,0.9412,0.1087,0.5304
HeteroGATv2,SMOTE,TCGA Test,0.512,0.9143,0.8571,0.8026,0.8714,0.8469,0.8356
HeteroGATv2,SMOTE,CGGA,0.512,0.7424,0.6434,0.5,0.7451,0.587,0.5984
MOGAT,SMOTE,TCGA Test,0.476,0.9182,0.8571,0.7738,0.9286,0.8061,0.8442
MOGAT,SMOTE,CGGA,0.476,0.756,0.6434,0.5,0.8039,0.5543,0.6165
HyperTMO,SMOTE,TCGA Test,0.496,0.8208,0.7024,0.5909,0.9286,0.5408,0.7222
HyperTMO,SMOTE,CGGA,0.496,0.7074,0.3601,0.3579,1.0,0.0054,0.5271
RGCN,SMOTE,TCGA Test,0.518,0.8318,0.75,0.6556,0.8429,0.6837,0.7375
RGCN,SMOTE,CGGA,0.518,0.6882,0.6399,0.4964,0.6765,0.6196,0.5726
VEGN,SMOTE,TCGA Test,0.498,0.9093,0.8393,0.7654,0.8857,0.8061,0.8212
VEGN,SMOTE,CGGA,0.498,0.7075,0.6294,0.4873,0.7549,0.5598,0.5923
FastHGTConv,SMOTE,TCGA Test,0.468,0.9131,0.8631,0.7831,0.9286,0.8163,0.8497
FastHGTConv,SMOTE,CGGA,0.468,0.7169,0.6224,0.4792,0.6765,0.5924,0.561
SGNN,SMOTE,TCGA Test,0.526,0.8593,0.7738,0.6702,0.9,0.6837,0.7683
SGNN,SMOTE,CGGA,0.526,0.5465,0.5245,0.3229,0.3039,0.6467,0.3131
HeteroGATv2,CTGAN,TCGA Test,0.55,0.9233,0.8631,0.7975,0.9,0.8367,0.8456
HeteroGATv2,CTGAN,CGGA,0.55,0.8008,0.6713,0.5244,0.8431,0.5761,0.6466
MOGAT,CTGAN,TCGA Test,0.576,0.8997,0.8155,0.791,0.7571,0.8571,0.7737
MOGAT,CTGAN,CGGA,0.576,0.774,0.7203,0.5917,0.6961,0.7337,0.6396
HyperTMO,CTGAN,TCGA Test,0.528,0.8111,0.7262,0.7069,0.5857,0.8265,0.6406
HyperTMO,CTGAN,CGGA,0.528,0.6666,0.6119,0.4702,0.6961,0.5652,0.5613
RGCN,CTGAN,TCGA Test,0.488,0.8691,0.7738,0.6739,0.8857,0.6939,0.7654
RGCN,CTGAN,CGGA,0.488,0.7387,0.5455,0.4247,0.7745,0.4185,0.5486
VEGN,CTGAN,TCGA Test,0.534,0.9042,0.8274,0.747,0.8857,0.7857,0.8105
VEGN,CTGAN,CGGA,0.534,0.7896,0.6434,0.5,0.8627,0.5217,0.6331
FastHGTConv,CTGAN,TCGA Test,0.526,0.9121,0.8155,0.7191,0.9143,0.7449,0.805
FastHGTConv,CTGAN,CGGA,0.526,0.7832,0.5664,0.4476,0.9216,0.3696,0.6026
SGNN,CTGAN,TCGA Test,0.532,0.8723,0.7917,0.7059,0.8571,0.7449,0.7742
SGNN,CTGAN,CGGA,0.532,0.6089,0.5804,0.425,0.5,0.625,0.4595
