Model,Pipeline,Threshold
HeteroGATv2,No Balancing,0.4900000000000001
MOGAT,No Balancing,0.4860000000000002
HyperTMO,No Balancing,0.49200000000000016
RGCN,No Balancing,0.4520000000000001
VEGN,No Balancing,0.4740000000000001
FastHGTConv,No Balancing,0.41000000000000003
SGNN,No Balancing,0.4700000000000002
HeteroGATv2,SMOTE,0.5120000000000002
MOGAT,SMOTE,0.47600000000000015
HyperTMO,SMOTE,0.4960000000000003
RGCN,SMOTE,0.5180000000000002
VEGN,SMOTE,0.4980000000000001
FastHGTConv,SMOTE,0.46800000000000014
SGNN,SMOTE,0.5260000000000002
HeteroGATv2,CTGAN,0.5500000000000002
MOGAT,CTGAN,0.5760000000000003
HyperTMO,CTGAN,0.5280000000000002
RGCN,CTGAN,0.48800000000000016
VEGN,CTGAN,0.5340000000000003
FastHGTConv,CTGAN,0.5260000000000002
SGNN,CTGAN,0.5320000000000003
