Model,Pipeline,Feature,Feature_Type,AUC_Drop,Base_AUC
HeteroGATv2,No Balancing,IDH1,Gene,0.2648688046647232,0.9234693877551021
HeteroGATv2,No Balancing,TP53,Gene,0.011005830903790148,0.9234693877551021
HeteroGATv2,No Balancing,ATRX,Gene,0.005510204081632708,0.9234693877551021
HeteroGATv2,No Balancing,PTEN,Gene,0.004679300291545241,0.9234693877551021
HeteroGATv2,No Balancing,EGFR,Gene,0.007040816326530685,0.9234693877551021
HeteroGATv2,No Balancing,CIC,Gene,0.01706997084548112,0.9234693877551021
HeteroGATv2,No Balancing,MUC16,Gene,0.002040816326530648,0.9234693877551021
HeteroGATv2,No Balancing,PIK3CA,Gene,0.006486880466472378,0.9234693877551021
HeteroGATv2,No Balancing,NF1,Gene,-0.0014868804664722069,0.9234693877551021
HeteroGATv2,No Balancing,PIK3R1,Gene,0.0014868804664723845,0.9234693877551021
HeteroGATv2,No Balancing,FUBP1,Gene,0.0037026239067055934,0.9234693877551021
HeteroGATv2,No Balancing,RB1,Gene,-0.0004518950437317537,0.9234693877551021
HeteroGATv2,No Balancing,NOTCH1,Gene,0.010218658892128318,0.9234693877551021
HeteroGATv2,No Balancing,BCOR,Gene,-0.001268221574343964,0.9234693877551021
HeteroGATv2,No Balancing,CSMD3,Gene,0.0012390670553936722,0.9234693877551021
HeteroGATv2,No Balancing,SMARCA4,Gene,0.003892128279883389,0.9234693877551021
HeteroGATv2,No Balancing,GRIN2A,Gene,0.002288629737609349,0.9234693877551021
HeteroGATv2,No Balancing,IDH2,Gene,0.004970845481049613,0.9234693877551021
HeteroGATv2,No Balancing,FAT4,Gene,-5.830903790083885e-05,0.9234693877551021
HeteroGATv2,No Balancing,PDGFRA,Gene,-0.0007871720116617631,0.9234693877551021
HeteroGATv2,No Balancing,Age_at_diagnosis,Clinical,0.0393148688046648,0.9234693877551021
HeteroGATv2,No Balancing,Gender,Clinical,0.0025072886297376807,0.9234693877551021
HeteroGATv2,No Balancing,Race,Clinical,0.005320699708454868,0.9234693877551021
HeteroGATv2,SMOTE,IDH1,Gene,0.2820699708454811,0.9061224489795918
HeteroGATv2,SMOTE,TP53,Gene,0.005524781341107865,0.9061224489795918
HeteroGATv2,SMOTE,ATRX,Gene,0.021239067055393558,0.9061224489795918
HeteroGATv2,SMOTE,PTEN,Gene,0.0016909620991253592,0.9061224489795918
HeteroGATv2,SMOTE,EGFR,Gene,0.005014577259475184,0.9061224489795918
HeteroGATv2,SMOTE,CIC,Gene,0.01129737609329443,0.9061224489795918
HeteroGATv2,SMOTE,MUC16,Gene,0.0007434402332361257,0.9061224489795918
HeteroGATv2,SMOTE,PIK3CA,Gene,0.0051020408163265476,0.9061224489795918
HeteroGATv2,SMOTE,NF1,Gene,-0.004067055393586039,0.9061224489795918
HeteroGATv2,SMOTE,PIK3R1,Gene,0.0019096209912536355,0.9061224489795918
HeteroGATv2,SMOTE,FUBP1,Gene,0.0046647230320699725,0.9061224489795918
HeteroGATv2,SMOTE,RB1,Gene,-0.0013265306122449139,0.9061224489795918
HeteroGATv2,SMOTE,NOTCH1,Gene,0.01864431486880468,0.9061224489795918
HeteroGATv2,SMOTE,BCOR,Gene,-0.005320699708454835,0.9061224489795918
HeteroGATv2,SMOTE,CSMD3,Gene,0.0008892128279883171,0.9061224489795918
HeteroGATv2,SMOTE,SMARCA4,Gene,0.004110787172011654,0.9061224489795918
HeteroGATv2,SMOTE,GRIN2A,Gene,-2.9154518950458285e-05,0.9061224489795918
HeteroGATv2,SMOTE,IDH2,Gene,0.007813411078717147,0.9061224489795918
HeteroGATv2,SMOTE,FAT4,Gene,-0.0015451895043731901,0.9061224489795918
HeteroGATv2,SMOTE,PDGFRA,Gene,0.0001457725947521804,0.9061224489795918
HeteroGATv2,SMOTE,Age_at_diagnosis,Clinical,0.043513119533527676,0.9061224489795918
HeteroGATv2,SMOTE,Gender,Clinical,0.0025947521865888777,0.9061224489795918
HeteroGATv2,SMOTE,Race,Clinical,0.004285714285714237,0.9061224489795918
HeteroGATv2,CTGAN,IDH1,Gene,0.12774052478134115,0.9062682215743441
HeteroGATv2,CTGAN,TP53,Gene,0.0016326530612245315,0.9062682215743441
HeteroGATv2,CTGAN,ATRX,Gene,0.0029008746355685287,0.9062682215743441
HeteroGATv2,CTGAN,PTEN,Gene,0.007798833819242013,0.9062682215743441
HeteroGATv2,CTGAN,EGFR,Gene,0.005306122448979611,0.9062682215743441
HeteroGATv2,CTGAN,CIC,Gene,0.0006559766763848506,0.9062682215743441
HeteroGATv2,CTGAN,MUC16,Gene,-0.00014577259475211378,0.9062682215743441
HeteroGATv2,CTGAN,PIK3CA,Gene,0.00717201166180762,0.9062682215743441
HeteroGATv2,CTGAN,NF1,Gene,-0.002653061224489761,0.9062682215743441
HeteroGATv2,CTGAN,PIK3R1,Gene,0.00011661807580176653,0.9062682215743441
HeteroGATv2,CTGAN,FUBP1,Gene,0.001953352769679351,0.9062682215743441
HeteroGATv2,CTGAN,RB1,Gene,0.0019825072886297647,0.9062682215743441
HeteroGATv2,CTGAN,NOTCH1,Gene,0.0027551020408163374,0.9062682215743441
HeteroGATv2,CTGAN,BCOR,Gene,-0.0021428571428571018,0.9062682215743441
HeteroGATv2,CTGAN,CSMD3,Gene,0.001107871720116649,0.9062682215743441
HeteroGATv2,CTGAN,SMARCA4,Gene,0.0021574344023324032,0.9062682215743441
HeteroGATv2,CTGAN,GRIN2A,Gene,0.0008163265306122769,0.9062682215743441
HeteroGATv2,CTGAN,IDH2,Gene,0.0034985422740525184,0.9062682215743441
HeteroGATv2,CTGAN,FAT4,Gene,-0.0004227405247813065,0.9062682215743441
HeteroGATv2,CTGAN,PDGFRA,Gene,0.000816326530612288,0.9062682215743441
HeteroGATv2,CTGAN,Age_at_diagnosis,Clinical,0.07198250728862977,0.9062682215743441
HeteroGATv2,CTGAN,Gender,Clinical,-0.00037900874635566907,0.9062682215743441
HeteroGATv2,CTGAN,Race,Clinical,0.003411078717201199,0.9062682215743441
MOGAT,No Balancing,IDH1,Gene,0.3028425655976676,0.9244897959183673
MOGAT,No Balancing,TP53,Gene,0.014518950437317723,0.9244897959183673
MOGAT,No Balancing,ATRX,Gene,0.011807580174927102,0.9244897959183673
MOGAT,No Balancing,PTEN,Gene,0.003104956268221548,0.9244897959183673
MOGAT,No Balancing,EGFR,Gene,0.005932944606413959,0.9244897959183673
MOGAT,No Balancing,CIC,Gene,0.013483965014577225,0.9244897959183673
MOGAT,No Balancing,MUC16,Gene,0.0027405247813410915,0.9244897959183673
MOGAT,No Balancing,PIK3CA,Gene,0.013381924198250694,0.9244897959183673
MOGAT,No Balancing,NF1,Gene,-0.0013994169096209984,0.9244897959183673
MOGAT,No Balancing,PIK3R1,Gene,0.004052478134110771,0.9244897959183673
MOGAT,No Balancing,FUBP1,Gene,0.003892128279883367,0.9244897959183673
MOGAT,No Balancing,RB1,Gene,-0.0013119533527696902,0.9244897959183673
MOGAT,No Balancing,NOTCH1,Gene,0.017448979591836732,0.9244897959183673
MOGAT,No Balancing,BCOR,Gene,-0.001151603498542264,0.9244897959183673
MOGAT,No Balancing,CSMD3,Gene,0.0012390670553935833,0.9244897959183673
MOGAT,No Balancing,SMARCA4,Gene,0.001282798833819232,0.9244897959183673
MOGAT,No Balancing,GRIN2A,Gene,0.002186588921282773,0.9244897959183673
MOGAT,No Balancing,IDH2,Gene,0.010145772594752167,0.9244897959183673
MOGAT,No Balancing,FAT4,Gene,-0.00026239067055395805,0.9244897959183673
MOGAT,No Balancing,PDGFRA,Gene,-7.288629737611796e-05,0.9244897959183673
MOGAT,No Balancing,Age_at_diagnosis,Clinical,0.031516034985422714,0.9244897959183673
MOGAT,No Balancing,Gender,Clinical,0.00042274052478127324,0.9244897959183673
MOGAT,No Balancing,Race,Clinical,0.0059475218658891936,0.9244897959183673
MOGAT,SMOTE,IDH1,Gene,0.2993294460641399,0.9157434402332362
MOGAT,SMOTE,TP53,Gene,0.008848396501457734,0.9157434402332362
MOGAT,SMOTE,ATRX,Gene,0.014635568513119557,0.9157434402332362
MOGAT,SMOTE,PTEN,Gene,0.004839650145772612,0.9157434402332362
MOGAT,SMOTE,EGFR,Gene,0.005335276967930058,0.9157434402332362
MOGAT,SMOTE,CIC,Gene,0.010670553935860094,0.9157434402332362
MOGAT,SMOTE,MUC16,Gene,0.0013119533527696792,0.9157434402332362
MOGAT,SMOTE,PIK3CA,Gene,0.008250728862973788,0.9157434402332362
MOGAT,SMOTE,NF1,Gene,-0.0028134110787171873,0.9157434402332362
MOGAT,SMOTE,PIK3R1,Gene,0.0019970845481049548,0.9157434402332362
MOGAT,SMOTE,FUBP1,Gene,0.004183673469387761,0.9157434402332362
MOGAT,SMOTE,RB1,Gene,-0.0009766763848396364,0.9157434402332362
MOGAT,SMOTE,NOTCH1,Gene,0.01728862973760934,0.9157434402332362
MOGAT,SMOTE,BCOR,Gene,-0.004081632653061195,0.9157434402332362
MOGAT,SMOTE,CSMD3,Gene,0.0003206997084548191,0.9157434402332362
MOGAT,SMOTE,SMARCA4,Gene,0.0028425655976676454,0.9157434402332362
MOGAT,SMOTE,GRIN2A,Gene,0.0010787172011661795,0.9157434402332362
MOGAT,SMOTE,IDH2,Gene,0.007682215743440257,0.9157434402332362
MOGAT,SMOTE,FAT4,Gene,-0.00023323615160347755,0.9157434402332362
MOGAT,SMOTE,PDGFRA,Gene,-0.0007871720116617964,0.9157434402332362
MOGAT,SMOTE,Age_at_diagnosis,Clinical,0.03432944606413994,0.9157434402332362
MOGAT,SMOTE,Gender,Clinical,-0.001880466472303166,0.9157434402332362
MOGAT,SMOTE,Race,Clinical,0.0016180758017492747,0.9157434402332362
MOGAT,CTGAN,IDH1,Gene,0.13447521865889214,0.9177842565597668
MOGAT,CTGAN,TP53,Gene,0.003702623906705582,0.9177842565597668
MOGAT,CTGAN,ATRX,Gene,-0.0004956268221574023,0.9177842565597668
MOGAT,CTGAN,PTEN,Gene,0.010116618075801786,0.9177842565597668
MOGAT,CTGAN,EGFR,Gene,0.00736151603498546,0.9177842565597668
MOGAT,CTGAN,CIC,Gene,0.011865889212828029,0.9177842565597668
MOGAT,CTGAN,MUC16,Gene,0.0023032069970845837,0.9177842565597668
MOGAT,CTGAN,PIK3CA,Gene,0.006020408163265345,0.9177842565597668
MOGAT,CTGAN,NF1,Gene,-0.0001603498542273818,0.9177842565597668
MOGAT,CTGAN,PIK3R1,Gene,0.00027696793002920386,0.9177842565597668
MOGAT,CTGAN,FUBP1,Gene,0.003352769679300338,0.9177842565597668
MOGAT,CTGAN,RB1,Gene,0.0034985422740525076,0.9177842565597668
MOGAT,CTGAN,NOTCH1,Gene,-0.0007580174927113381,0.9177842565597668
MOGAT,CTGAN,BCOR,Gene,-0.001341107871720093,0.9177842565597668
MOGAT,CTGAN,CSMD3,Gene,0.0009329446064140434,0.9177842565597668
MOGAT,CTGAN,SMARCA4,Gene,0.0018075801749271592,0.9177842565597668
MOGAT,CTGAN,GRIN2A,Gene,0.0030612244897959663,0.9177842565597668
MOGAT,CTGAN,IDH2,Gene,0.006209912536443185,0.9177842565597668
MOGAT,CTGAN,FAT4,Gene,0.0005247813411078828,0.9177842565597668
MOGAT,CTGAN,PDGFRA,Gene,0.0013265306122449139,0.9177842565597668
MOGAT,CTGAN,Age_at_diagnosis,Clinical,0.060889212827988405,0.9177842565597668
MOGAT,CTGAN,Gender,Clinical,-0.0032069970845480687,0.9177842565597668
MOGAT,CTGAN,Race,Clinical,0.004941690962099154,0.9177842565597668
HyperTMO,No Balancing,IDH1,Gene,0.0006413994169097159,0.811661807580175
HyperTMO,No Balancing,TP53,Gene,-0.0002915451895042942,0.811661807580175
HyperTMO,No Balancing,ATRX,Gene,0.0001603498542274928,0.811661807580175
HyperTMO,No Balancing,PTEN,Gene,-2.915451895036947e-05,0.811661807580175
HyperTMO,No Balancing,EGFR,Gene,0.0001603498542274706,0.811661807580175
HyperTMO,No Balancing,CIC,Gene,2.1865889212913102e-05,0.811661807580175
HyperTMO,No Balancing,MUC16,Gene,0.00027696793002923714,0.811661807580175
HyperTMO,No Balancing,PIK3CA,Gene,0.0005102040816327369,0.811661807580175
HyperTMO,No Balancing,NF1,Gene,0.00016034985422750392,0.811661807580175
HyperTMO,No Balancing,PIK3R1,Gene,-0.00032069970845470807,0.811661807580175
