Model,Pipeline,auc_mean,auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,recall_0_mean,recall_0_std,f1_mean,f1_std,threshold_mean,threshold_std
FastHGTConv,CTGAN,0.921,0.0172,0.8808,0.0252,0.8366,0.0217,0.8901,0.051,0.8741,0.0165,0.8621,0.0316,0.542,0.0327
FastHGTConv,No Balancing,0.9204,0.013,0.8808,0.0184,0.8307,0.0265,0.9007,0.0269,0.8663,0.0251,0.864,0.0201,0.568,0.0576
FastHGTConv,ROS,0.9264,0.0181,0.8808,0.0148,0.8256,0.0304,0.9112,0.0399,0.8584,0.0385,0.8654,0.0154,0.536,0.0662
FastHGTConv,ROS+SF,0.9328,0.0113,0.8793,0.0134,0.8242,0.0404,0.9112,0.0416,0.8558,0.0494,0.8641,0.0101,0.422,0.1457
FastHGTConv,SMOTE,0.9271,0.0181,0.8808,0.016,0.8313,0.0286,0.9005,0.0415,0.8662,0.0301,0.8637,0.0191,0.534,0.0615
HeteroGATv2,CTGAN,0.8941,0.0248,0.8436,0.0554,0.7733,0.0669,0.8939,0.0581,0.8072,0.0653,0.8285,0.0574,0.516,0.1234
HeteroGATv2,No Balancing,0.8967,0.0387,0.8511,0.0513,0.7869,0.0566,0.8868,0.0757,0.8252,0.0486,0.8332,0.0598,0.41,0.0851
HeteroGATv2,ROS,0.9014,0.0382,0.8511,0.0582,0.7992,0.0674,0.8655,0.0941,0.8405,0.0592,0.8295,0.0693,0.498,0.0694
HeteroGATv2,ROS+SF,0.9224,0.0165,0.8763,0.018,0.8273,0.0281,0.8934,0.0362,0.8636,0.0304,0.8585,0.0209,0.544,0.0207
HeteroGATv2,SMOTE,0.9185,0.0133,0.8778,0.0253,0.826,0.059,0.9075,0.0466,0.8558,0.066,0.8625,0.0223,0.51,0.0596
HyperTMO,CTGAN,0.8192,0.0277,0.7482,0.0347,0.6657,0.0477,0.8193,0.0415,0.6968,0.0728,0.7329,0.0251,0.528,0.0148
HyperTMO,No Balancing,0.8216,0.025,0.7571,0.0388,0.6864,0.0544,0.7941,0.1071,0.73,0.0865,0.7316,0.0465,0.478,0.0217
HyperTMO,ROS,0.8361,0.0173,0.7765,0.0199,0.7346,0.0332,0.7378,0.0641,0.8046,0.0442,0.7342,0.0305,0.546,0.0288
HyperTMO,ROS+SF,0.8424,0.0149,0.778,0.0267,0.7122,0.0586,0.8085,0.0583,0.7559,0.078,0.754,0.0194,0.524,0.0114
HyperTMO,SMOTE,0.8374,0.0118,0.7645,0.0112,0.7006,0.0389,0.7805,0.0763,0.7532,0.0661,0.735,0.0182,0.514,0.027
