Model,Pipeline,Threshold
HeteroGATv2,No Balancing,0.41000000000000003
MOGAT,No Balancing,0.4700000000000002
HyperTMO,No Balancing,0.4780000000000002
RGCN,No Balancing,0.49600000000000016
VEGN,No Balancing,0.46800000000000014
FastHGTConv,No Balancing,0.5680000000000003
SGNN,No Balancing,0.4560000000000001
HeteroGATv2,SMOTE,0.5100000000000001
MOGAT,SMOTE,0.5200000000000002
HyperTMO,SMOTE,0.5140000000000002
RGCN,SMOTE,0.5260000000000002
VEGN,SMOTE,0.5020000000000002
FastHGTConv,SMOTE,0.5340000000000003
SGNN,SMOTE,0.5180000000000001
HeteroGATv2,CTGAN,0.5160000000000002
MOGAT,CTGAN,0.5380000000000003
HyperTMO,CTGAN,0.5280000000000002
RGCN,CTGAN,0.4560000000000001
VEGN,CTGAN,0.5620000000000003
FastHGTConv,CTGAN,0.5420000000000004
SGNN,CTGAN,0.5080000000000002
HeteroGATv2,ROS,0.4980000000000002
MOGAT,ROS,0.48400000000000015
HyperTMO,ROS,0.5460000000000003
RGCN,ROS,0.46400000000000013
VEGN,ROS,0.5180000000000001
FastHGTConv,ROS,0.5360000000000003
SGNN,ROS,0.5140000000000001
HeteroGATv2,ROS+SF,0.5440000000000003
MOGAT,ROS+SF,0.5480000000000003
HyperTMO,ROS+SF,0.5240000000000002
RGCN,ROS+SF,0.4780000000000001
VEGN,ROS+SF,0.5280000000000002
FastHGTConv,ROS+SF,0.42200000000000015
SGNN,ROS+SF,0.5120000000000002
