Model,Pipeline,Dataset,Threshold,AUC,Accuracy,Precision,Recall_1,Recall_0,F1
HeteroGATv2,No Balancing,TCGA Test,0.41,0.921,0.8512,0.7528,0.9571,0.7755,0.8428
HeteroGATv2,No Balancing,CGGA,0.41,0.7707,0.6119,0.4754,0.8529,0.4783,0.6105
MOGAT,No Balancing,TCGA Test,0.492,0.8748,0.7738,0.7162,0.7571,0.7857,0.7361
MOGAT,No Balancing,CGGA,0.492,0.7218,0.6364,0.4932,0.7059,0.5978,0.5806
HyperTMO,No Balancing,TCGA Test,0.41,0.8923,0.7917,0.6768,0.9571,0.6735,0.7929
HyperTMO,No Balancing,CGGA,0.41,0.732,0.6364,0.4944,0.8725,0.5054,0.6312
RGCN,No Balancing,TCGA Test,0.438,0.9133,0.869,0.7727,0.9714,0.7959,0.8608
RGCN,No Balancing,CGGA,0.438,0.8209,0.6923,0.5473,0.7941,0.6359,0.648
VEGN,No Balancing,TCGA Test,0.478,0.9322,0.8631,0.7831,0.9286,0.8163,0.8497
VEGN,No Balancing,CGGA,0.478,0.8077,0.7028,0.5556,0.8333,0.6304,0.6667
FastHGTConv,No Balancing,TCGA Test,0.454,0.9318,0.8512,0.7647,0.9286,0.7959,0.8387
FastHGTConv,No Balancing,CGGA,0.454,0.7887,0.6643,0.5185,0.8235,0.5761,0.6364
SGNN,No Balancing,TCGA Test,0.452,0.9061,0.7202,0.6,0.9857,0.5306,0.7459
SGNN,No Balancing,CGGA,0.452,0.786,0.6399,0.4971,0.8529,0.5217,0.6282
HeteroGATv2,SMOTE,TCGA Test,0.506,0.9201,0.8631,0.7975,0.9,0.8367,0.8456
HeteroGATv2,SMOTE,CGGA,0.506,0.7684,0.6608,0.5155,0.8137,0.5761,0.6312
MOGAT,SMOTE,TCGA Test,0.534,0.9022,0.8036,0.7229,0.8571,0.7653,0.7843
MOGAT,SMOTE,CGGA,0.534,0.7813,0.7063,0.5634,0.7843,0.663,0.6557
HyperTMO,SMOTE,TCGA Test,0.528,0.9115,0.8393,0.7792,0.8571,0.8265,0.8163
HyperTMO,SMOTE,CGGA,0.528,0.7588,0.7168,0.5913,0.6667,0.7446,0.6267
RGCN,SMOTE,TCGA Test,0.462,0.9138,0.8333,0.7442,0.9143,0.7755,0.8205
RGCN,SMOTE,CGGA,0.462,0.7475,0.5594,0.4394,0.8529,0.3967,0.58
VEGN,SMOTE,TCGA Test,0.478,0.9271,0.4643,0.4375,1.0,0.0816,0.6087
VEGN,SMOTE,CGGA,0.478,0.7599,0.3671,0.3604,1.0,0.0163,0.5299
FastHGTConv,SMOTE,TCGA Test,0.482,0.9261,0.7976,0.6915,0.9286,0.7041,0.7927
FastHGTConv,SMOTE,CGGA,0.482,0.7972,0.5804,0.4563,0.9216,0.3913,0.6104
SGNN,SMOTE,TCGA Test,0.508,0.9217,0.869,0.7927,0.9286,0.8265,0.8553
SGNN,SMOTE,CGGA,0.508,0.7751,0.7133,0.5735,0.7647,0.6848,0.6555
HeteroGATv2,CTGAN,TCGA Test,0.536,0.9297,0.8452,0.75,0.9429,0.7755,0.8354
HeteroGATv2,CTGAN,CGGA,0.536,0.7788,0.6294,0.4888,0.8529,0.5054,0.6214
MOGAT,CTGAN,TCGA Test,0.544,0.9204,0.8214,0.7326,0.9,0.7653,0.8077
MOGAT,CTGAN,CGGA,0.544,0.7785,0.6748,0.5257,0.902,0.5489,0.6643
HyperTMO,CTGAN,TCGA Test,0.532,0.8962,0.8452,0.775,0.8857,0.8163,0.8267
HyperTMO,CTGAN,CGGA,0.532,0.7487,0.7413,0.7593,0.402,0.9293,0.5256
RGCN,CTGAN,TCGA Test,0.6,0.9041,0.8214,0.7941,0.7714,0.8571,0.7826
RGCN,CTGAN,CGGA,0.6,0.7526,0.7028,0.578,0.6176,0.75,0.5972
VEGN,CTGAN,TCGA Test,0.558,0.8901,0.7321,0.6147,0.9571,0.5714,0.7486
VEGN,CTGAN,CGGA,0.558,0.753,0.5245,0.4227,0.9118,0.3098,0.5776
FastHGTConv,CTGAN,TCGA Test,0.542,0.8825,0.8333,0.75,0.9,0.7857,0.8182
FastHGTConv,CTGAN,CGGA,0.542,0.8029,0.7168,0.5695,0.8431,0.6467,0.6798
SGNN,CTGAN,TCGA Test,0.562,0.9141,0.8333,0.7763,0.8429,0.8265,0.8082
SGNN,CTGAN,CGGA,0.562,0.7509,0.7063,0.6184,0.4608,0.8424,0.5281
HeteroGATv2,ROS,TCGA Test,0.486,0.9262,0.869,0.7857,0.9429,0.8163,0.8571
HeteroGATv2,ROS,CGGA,0.486,0.7926,0.5804,0.4559,0.9118,0.3967,0.6078
MOGAT,ROS,TCGA Test,0.54,0.9249,0.8393,0.7529,0.9143,0.7857,0.8258
MOGAT,ROS,CGGA,0.54,0.8058,0.6923,0.5467,0.8039,0.6304,0.6508
HyperTMO,ROS,TCGA Test,0.506,0.9191,0.881,0.7778,1.0,0.7959,0.875
HyperTMO,ROS,CGGA,0.506,0.7709,0.6434,0.5,0.8529,0.5272,0.6304
RGCN,ROS,TCGA Test,0.506,0.9153,0.8452,0.7619,0.9143,0.7959,0.8312
RGCN,ROS,CGGA,0.506,0.7815,0.6993,0.5597,0.7353,0.6793,0.6356
VEGN,ROS,TCGA Test,0.494,0.9364,0.8631,0.7582,0.9857,0.7755,0.8571
VEGN,ROS,CGGA,0.494,0.7951,0.6503,0.506,0.8333,0.5489,0.6296
FastHGTConv,ROS,TCGA Test,0.498,0.913,0.8512,0.7528,0.9571,0.7755,0.8428
FastHGTConv,ROS,CGGA,0.498,0.7751,0.6364,0.4945,0.8824,0.5,0.6338
SGNN,ROS,TCGA Test,0.546,0.9141,0.8274,0.7356,0.9143,0.7653,0.8153
SGNN,ROS,CGGA,0.546,0.8071,0.7133,0.5704,0.7941,0.6685,0.6639
Ensemble(No Balancing),Ensemble,TCGA Test,0.44,0.9208,0.8512,0.7528,0.9571,0.7755,0.8428
Ensemble(No Balancing),Ensemble,CGGA,0.44,0.8035,0.6434,0.5,0.8725,0.5163,0.6357
Ensemble(SMOTE),Ensemble,TCGA Test,0.53,0.9315,0.875,0.7952,0.9429,0.8265,0.8627
Ensemble(SMOTE),Ensemble,CGGA,0.53,0.7961,0.6958,0.5484,0.8333,0.6196,0.6615
Ensemble(CTGAN),Ensemble,TCGA Test,0.55,0.9261,0.8571,0.7614,0.9571,0.7857,0.8481
Ensemble(CTGAN),Ensemble,CGGA,0.55,0.7966,0.7063,0.5703,0.7157,0.7011,0.6348
Ensemble(ROS),Ensemble,TCGA Test,0.52,0.9284,0.869,0.7791,0.9571,0.8061,0.859
Ensemble(ROS),Ensemble,CGGA,0.52,0.8081,0.6993,0.5519,0.8333,0.625,0.6641
