Model,Pipeline,auc_mean,auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,recall_0_mean,recall_0_std,f1_mean,f1_std,threshold_mean,threshold_std
FastHGTConv,CTGAN,0.9203,0.0169,0.8689,0.0264,0.81,0.0492,0.9042,0.0369,0.8431,0.0513,0.8533,0.026,0.508,0.065
FastHGTConv,No Balancing,0.9217,0.0125,0.8823,0.0187,0.8395,0.0189,0.8901,0.0263,0.8766,0.0152,0.864,0.0217,0.558,0.0438
FastHGTConv,ROS,0.9254,0.0185,0.8793,0.0111,0.825,0.0307,0.9077,0.0341,0.8584,0.0385,0.8635,0.0093,0.57,0.0557
FastHGTConv,SMOTE,0.9291,0.0178,0.8793,0.0222,0.8225,0.0486,0.9148,0.0297,0.8534,0.0543,0.8648,0.0189,0.474,0.1174
HeteroGATv2,CTGAN,0.893,0.028,0.8422,0.0542,0.7596,0.0716,0.9256,0.0457,0.7815,0.084,0.8328,0.0501,0.514,0.1099
HeteroGATv2,No Balancing,0.8965,0.0386,0.8466,0.0484,0.779,0.0502,0.8868,0.0757,0.8175,0.0419,0.8288,0.0572,0.416,0.0853
HeteroGATv2,ROS,0.9216,0.0157,0.8763,0.018,0.823,0.0278,0.9006,0.0372,0.8585,0.0295,0.8595,0.0206,0.53,0.0158
HeteroGATv2,SMOTE,0.9187,0.013,0.8763,0.0242,0.8214,0.059,0.9111,0.0475,0.8507,0.0667,0.8615,0.0205,0.504,0.0611
HyperTMO,CTGAN,0.8387,0.0206,0.7735,0.0197,0.7004,0.0313,0.8124,0.069,0.7455,0.0532,0.7502,0.0263,0.516,0.0167
HyperTMO,No Balancing,0.8239,0.0213,0.7586,0.0278,0.6921,0.0259,0.7729,0.1275,0.748,0.063,0.7254,0.0514,0.474,0.0451
HyperTMO,ROS,0.8379,0.0158,0.7691,0.0312,0.707,0.0468,0.7767,0.0491,0.7636,0.0551,0.7388,0.0314,0.534,0.0055
HyperTMO,SMOTE,0.8381,0.0123,0.772,0.0239,0.7045,0.0301,0.7909,0.0451,0.7583,0.0379,0.7445,0.0268,0.52,0.0255
MOGAT,CTGAN,0.9206,0.0175,0.8689,0.0348,0.7999,0.0595,0.9253,0.039,0.8276,0.0645,0.8566,0.0339,0.536,0.0445
MOGAT,No Balancing,0.9189,0.0157,0.8822,0.0202,0.8231,0.0302,0.9182,0.0328,0.856,0.0308,0.8676,0.0223,0.494,0.0358
MOGAT,ROS,0.9226,0.0154,0.8763,0.0173,0.8208,0.0216,0.904,0.0532,0.8559,0.0289,0.8595,0.0235,0.518,0.0396
MOGAT,SMOTE,0.922,0.0188,0.8808,0.0176,0.8274,0.0479,0.9112,0.0338,0.8585,0.0519,0.8657,0.0138,0.516,0.0631
RGCN,CTGAN,0.8139,0.0362,0.7482,0.0443,0.6693,0.0564,0.8122,0.0562,0.702,0.0915,0.7314,0.0339,0.472,0.0665
RGCN,No Balancing,0.8191,0.0227,0.7601,0.0252,0.6815,0.0426,0.8189,0.0551,0.7172,0.072,0.7417,0.0177,0.494,0.0913
RGCN,ROS,0.814,0.0315,0.7482,0.0347,0.6737,0.0482,0.7905,0.0441,0.7173,0.0739,0.7257,0.027,0.466,0.0385
RGCN,SMOTE,0.8181,0.0335,0.7557,0.0417,0.6894,0.0829,0.8045,0.1169,0.7197,0.1199,0.7335,0.0382,0.494,0.0723
SGNN,CTGAN,0.8138,0.034,0.7601,0.034,0.6867,0.0381,0.7945,0.0759,0.7352,0.0555,0.7349,0.041,0.488,0.0497
SGNN,No Balancing,0.8161,0.026,0.7706,0.0302,0.699,0.0319,0.805,0.1189,0.7452,0.0708,0.744,0.0502,0.456,0.0537
SGNN,ROS,0.8286,0.017,0.7795,0.0329,0.7045,0.0474,0.8261,0.0689,0.7454,0.0583,0.7587,0.0365,0.508,0.0719
SGNN,SMOTE,0.8319,0.0161,0.7735,0.02,0.7008,0.0283,0.8083,0.0416,0.748,0.0416,0.7499,0.0205,0.516,0.0888
VEGN,CTGAN,0.9083,0.0141,0.8659,0.028,0.8026,0.0346,0.9041,0.0414,0.838,0.0328,0.8499,0.0316,0.538,0.0205
VEGN,No Balancing,0.9135,0.0163,0.8733,0.0213,0.806,0.0326,0.922,0.02,0.838,0.0347,0.8598,0.0208,0.448,0.0327
VEGN,ROS,0.9078,0.0185,0.8703,0.0252,0.8102,0.0335,0.9041,0.0328,0.8457,0.0319,0.8543,0.028,0.526,0.0378
VEGN,SMOTE,0.9115,0.0189,0.8688,0.0204,0.8055,0.0405,0.9112,0.0437,0.8379,0.0456,0.8539,0.021,0.49,0.0235
