Model,Pipeline,Feature,Feature_Type,AUC_Drop,Base_AUC
HeteroGATv2,No Balancing,IDH1,Gene,0.2548104956268221,0.8720116618075802
HeteroGATv2,No Balancing,TP53,Gene,-0.008586005830903775,0.8720116618075802
HeteroGATv2,No Balancing,ATRX,Gene,0.02412536443148685,0.8720116618075802
HeteroGATv2,No Balancing,PTEN,Gene,-0.0034985422740525405,0.8720116618075802
HeteroGATv2,No Balancing,EGFR,Gene,-0.004096209912536475,0.8720116618075802
HeteroGATv2,No Balancing,CIC,Gene,0.03154518950437314,0.8720116618075802
HeteroGATv2,No Balancing,MUC16,Gene,-0.0005976676384840008,0.8720116618075802
HeteroGATv2,No Balancing,PIK3CA,Gene,0.00045189504373174263,0.8720116618075802
HeteroGATv2,No Balancing,NF1,Gene,-0.006690962099125408,0.8720116618075802
HeteroGATv2,No Balancing,PIK3R1,Gene,-0.015714285714285736,0.8720116618075802
HeteroGATv2,No Balancing,FUBP1,Gene,0.002973760932944591,0.8720116618075802
HeteroGATv2,No Balancing,RB1,Gene,-0.005670553935860101,0.8720116618075802
HeteroGATv2,No Balancing,NOTCH1,Gene,0.018979591836734654,0.8720116618075802
HeteroGATv2,No Balancing,BCOR,Gene,-0.01051020408163269,0.8720116618075802
HeteroGATv2,No Balancing,CSMD3,Gene,0.0008892128279883394,0.8720116618075802
HeteroGATv2,No Balancing,SMARCA4,Gene,0.0005393586005831175,0.8720116618075802
HeteroGATv2,No Balancing,GRIN2A,Gene,-0.003381924198250741,0.8720116618075802
HeteroGATv2,No Balancing,IDH2,Gene,0.005728862973760918,0.8720116618075802
HeteroGATv2,No Balancing,FAT4,Gene,-0.004635568513119526,0.8720116618075802
HeteroGATv2,No Balancing,PDGFRA,Gene,-0.002448979591836742,0.8720116618075802
HeteroGATv2,No Balancing,Age_at_diagnosis,Clinical,0.014227405247813374,0.8720116618075802
HeteroGATv2,No Balancing,Gender,Clinical,-0.007667638483965023,0.8720116618075802
HeteroGATv2,No Balancing,Race,Clinical,-0.004139941690962124,0.8720116618075802
HeteroGATv2,SMOTE,IDH1,Gene,0.30360058309037896,0.9190962099125364
HeteroGATv2,SMOTE,TP53,Gene,0.020160349854227357,0.9190962099125364
HeteroGATv2,SMOTE,ATRX,Gene,0.027244897959183632,0.9190962099125364
