Model,Pipeline,Threshold
HeteroGATv2,No Balancing,0.4860000000000001
MOGAT,No Balancing,0.4980000000000002
HyperTMO,No Balancing,0.48400000000000015
RGCN,No Balancing,0.4940000000000001
VEGN,No Balancing,0.4560000000000001
FastHGTConv,No Balancing,0.44200000000000006
SGNN,No Balancing,0.4560000000000001
HeteroGATv2,SMOTE,0.5280000000000002
MOGAT,SMOTE,0.5280000000000002
HyperTMO,SMOTE,0.5180000000000001
RGCN,SMOTE,0.5120000000000002
VEGN,SMOTE,0.5000000000000002
FastHGTConv,SMOTE,0.4520000000000001
SGNN,SMOTE,0.5180000000000001
HeteroGATv2,CTGAN,0.5320000000000003
MOGAT,CTGAN,0.5440000000000003
HyperTMO,CTGAN,0.5260000000000004
RGCN,CTGAN,0.47200000000000014
VEGN,CTGAN,0.5380000000000003
FastHGTConv,CTGAN,0.5240000000000002
SGNN,CTGAN,0.5300000000000002
HeteroGATv2,ROS,0.5480000000000003
MOGAT,ROS,0.5260000000000001
HyperTMO,ROS,0.5260000000000001
RGCN,ROS,0.46400000000000013
VEGN,ROS,0.5240000000000002
FastHGTConv,ROS,0.5240000000000002
SGNN,ROS,0.5140000000000001
