Model,Pipeline,Dataset,Threshold,AUC,Accuracy,Precision,Recall_1,Recall_0,F1
HeteroGATv2,No Balancing,TCGA Test,0.516,0.8952,0.7976,0.725,0.8286,0.7755,0.7733
HeteroGATv2,No Balancing,CGGA,0.516,0.7732,0.6434,0.5,0.8529,0.5272,0.6304
MOGAT,No Balancing,TCGA Test,0.56,0.9208,0.8393,0.7792,0.8571,0.8265,0.8163
MOGAT,No Balancing,CGGA,0.56,0.7687,0.6713,0.526,0.7941,0.6033,0.6328
HyperTMO,No Balancing,TCGA Test,0.52,0.8245,0.5655,0.4894,0.9857,0.2653,0.654
HyperTMO,No Balancing,CGGA,0.52,0.6956,0.5734,0.4412,0.7353,0.4837,0.5515
RGCN,No Balancing,TCGA Test,0.506,0.8227,0.7321,0.6404,0.8143,0.6735,0.717
RGCN,No Balancing,CGGA,0.506,0.6715,0.6678,0.534,0.5392,0.7391,0.5366
VEGN,No Balancing,TCGA Test,0.539,0.8287,0.744,0.6709,0.7571,0.7347,0.7114
VEGN,No Balancing,CGGA,0.539,0.6847,0.542,0.4171,0.7157,0.4457,0.5271
FastHGTConv,No Balancing,TCGA Test,0.457,0.9191,0.8333,0.7763,0.8429,0.8265,0.8082
FastHGTConv,No Balancing,CGGA,0.457,0.7907,0.6469,0.503,0.8235,0.5489,0.6245
SGNN,No Balancing,TCGA Test,0.544,0.8469,0.7679,0.7067,0.7571,0.7755,0.731
SGNN,No Balancing,CGGA,0.544,0.6401,0.6923,0.5972,0.4216,0.8424,0.4943
HeteroGATv2,SMOTE,TCGA Test,0.558,0.8726,0.7976,0.7093,0.8714,0.7449,0.7821
HeteroGATv2,SMOTE,CGGA,0.558,0.7863,0.7028,0.5612,0.7647,0.6685,0.6473
MOGAT,SMOTE,TCGA Test,0.541,0.9187,0.8452,0.7444,0.9571,0.7653,0.8375
MOGAT,SMOTE,CGGA,0.541,0.7939,0.6608,0.5153,0.8235,0.5707,0.634
