Model,Pipeline,auc_mean,auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,recall_0_mean,recall_0_std,f1_mean,f1_std,threshold_mean,threshold_std
FastHGTConv,CTGAN,0.9151,0.0165,0.8659,0.0343,0.8077,0.0594,0.9006,0.0165,0.8405,0.0612,0.8506,0.0327,0.558,0.0362
FastHGTConv,No Balancing,0.9272,0.0211,0.8778,0.0189,0.8256,0.0449,0.9041,0.0328,0.8585,0.0486,0.8618,0.0169,0.474,0.1174
FastHGTConv,ROS,0.9174,0.0221,0.8748,0.0174,0.8287,0.041,0.89,0.0342,0.8638,0.0476,0.857,0.0147,0.577,0.0693
FastHGTConv,SMOTE,0.9247,0.017,0.8808,0.0197,0.8311,0.0465,0.9043,0.0343,0.8636,0.049,0.8648,0.0183,0.558,0.0522
HeteroGATv2,CTGAN,0.8741,0.0554,0.83,0.0722,0.7592,0.0906,0.8933,0.0761,0.7835,0.1185,0.8176,0.068,0.535,0.0724
HeteroGATv2,No Balancing,0.9114,0.019,0.8703,0.0165,0.8035,0.0355,0.9185,0.0265,0.8355,0.0389,0.8564,0.0152,0.502,0.0524
HeteroGATv2,ROS,0.9088,0.0222,0.8748,0.0234,0.8143,0.0334,0.9113,0.0281,0.8483,0.0337,0.8597,0.0242,0.56,0.0146
HeteroGATv2,SMOTE,0.9059,0.0278,0.8718,0.0215,0.817,0.0321,0.8971,0.0201,0.8534,0.0315,0.8549,0.0226,0.558,0.0289
HyperTMO,CTGAN,0.8296,0.0347,0.7616,0.0303,0.6873,0.0295,0.7945,0.0518,0.7378,0.0291,0.7366,0.035,0.542,0.0144
HyperTMO,No Balancing,0.837,0.0232,0.781,0.0165,0.7132,0.0146,0.8014,0.0457,0.766,0.022,0.7542,0.023,0.52,0.0117
HyperTMO,ROS,0.8293,0.0236,0.7839,0.0183,0.7335,0.0176,0.7658,0.0844,0.7967,0.0404,0.747,0.0349,0.573,0.0189
HyperTMO,SMOTE,0.8391,0.0224,0.7795,0.0405,0.742,0.0577,0.734,0.0453,0.8123,0.0543,0.7371,0.0431,0.572,0.0192
MOGAT,CTGAN,0.8664,0.0313,0.8093,0.0369,0.7442,0.0481,0.8371,0.045,0.7891,0.0505,0.7872,0.0375,0.555,0.005
MOGAT,No Balancing,0.9187,0.0162,0.8733,0.0185,0.823,0.0207,0.89,0.0297,0.8611,0.0172,0.855,0.0224,0.554,0.0383
MOGAT,ROS,0.9057,0.016,0.8733,0.0237,0.8194,0.0463,0.9006,0.027,0.8533,0.0491,0.8571,0.0223,0.56,0.0285
MOGAT,SMOTE,0.9169,0.019,0.8793,0.0178,0.8191,0.0374,0.9184,0.0323,0.8508,0.0418,0.865,0.0167,0.538,0.0323
RGCN,CTGAN,0.8234,0.0356,0.7691,0.0389,0.705,0.0578,0.7907,0.045,0.7533,0.0835,0.743,0.0288,0.562,0.0616
RGCN,No Balancing,0.8212,0.0279,0.7557,0.0314,0.6812,0.0444,0.7977,0.0308,0.725,0.0679,0.7336,0.0217,0.505,0.0655
RGCN,ROS,0.8186,0.0286,0.7616,0.0371,0.7057,0.0514,0.7517,0.0228,0.7687,0.0652,0.727,0.0299,0.56,0.0666
RGCN,SMOTE,0.8224,0.0321,0.7587,0.035,0.6895,0.0392,0.7768,0.0375,0.7456,0.0395,0.7303,0.0361,0.551,0.0139
SGNN,CTGAN,0.8146,0.0371,0.7691,0.0368,0.7207,0.0308,0.7344,0.0745,0.7942,0.0253,0.7266,0.0499,0.555,0.0274
SGNN,No Balancing,0.8326,0.0311,0.775,0.0258,0.7212,0.0302,0.7591,0.0385,0.7867,0.0291,0.7393,0.0289,0.546,0.0164
SGNN,ROS,0.8395,0.0273,0.7824,0.0127,0.7154,0.0309,0.8086,0.0727,0.7635,0.0535,0.7568,0.0192,0.542,0.0434
SGNN,SMOTE,0.8238,0.0282,0.7646,0.0237,0.6962,0.02,0.7805,0.0577,0.7532,0.0206,0.7353,0.0321,0.559,0.0213
VEGN,CTGAN,0.8223,0.0318,0.7512,0.0331,0.678,0.0436,0.7873,0.0328,0.725,0.0654,0.7274,0.0245,0.56,0.0215
VEGN,No Balancing,0.8196,0.0314,0.7587,0.0418,0.7005,0.067,0.7658,0.0355,0.7532,0.0948,0.7288,0.0246,0.539,0.0368
VEGN,ROS,0.8204,0.031,0.7646,0.0387,0.7082,0.0598,0.7658,0.0453,0.7635,0.0871,0.7332,0.0265,0.588,0.034
VEGN,SMOTE,0.8152,0.0262,0.7542,0.0289,0.6844,0.0455,0.7835,0.04,0.7326,0.0734,0.7287,0.0164,0.502,0.0554
