Model,Pipeline,Dataset,Threshold,AUC,Accuracy,Precision,Recall_1,Recall_0,F1
HeteroGATv2,No Balancing,TCGA Test,0.502,0.8952,0.7976,0.7143,0.8571,0.7551,0.7792
HeteroGATv2,No Balancing,CGGA,0.502,0.7732,0.6364,0.4944,0.8725,0.5054,0.6312
MOGAT,No Balancing,TCGA Test,0.554,0.9206,0.8512,0.7848,0.8857,0.8265,0.8322
MOGAT,No Balancing,CGGA,0.554,0.7688,0.6748,0.5287,0.8137,0.5978,0.6409
HyperTMO,No Balancing,TCGA Test,0.52,0.8245,0.5655,0.4894,0.9857,0.2653,0.654
HyperTMO,No Balancing,CGGA,0.52,0.6956,0.5734,0.4412,0.7353,0.4837,0.5515
RGCN,No Balancing,TCGA Test,0.505,0.8259,0.7381,0.6354,0.8714,0.6429,0.7349
RGCN,No Balancing,CGGA,0.505,0.6819,0.5385,0.4128,0.6961,0.4511,0.5182
VEGN,No Balancing,TCGA Test,0.539,0.8287,0.744,0.6709,0.7571,0.7347,0.7114
VEGN,No Balancing,CGGA,0.539,0.6847,0.542,0.4171,0.7157,0.4457,0.5271
FastHGTConv,No Balancing,TCGA Test,0.474,0.9115,0.8274,0.7887,0.8,0.8469,0.7943
FastHGTConv,No Balancing,CGGA,0.474,0.7886,0.6399,0.497,0.8235,0.538,0.6199
SGNN,No Balancing,TCGA Test,0.546,0.8469,0.7738,0.7162,0.7571,0.7857,0.7361
SGNN,No Balancing,CGGA,0.546,0.6401,0.6958,0.6087,0.4118,0.8533,0.4912
HeteroGATv2,SMOTE,TCGA Test,0.558,0.8726,0.7976,0.7093,0.8714,0.7449,0.7821
HeteroGATv2,SMOTE,CGGA,0.558,0.7863,0.7028,0.5612,0.7647,0.6685,0.6473
MOGAT,SMOTE,TCGA Test,0.538,0.9184,0.8393,0.7471,0.9286,0.7755,0.828
MOGAT,SMOTE,CGGA,0.538,0.7919,0.6538,0.5091,0.8235,0.5598,0.6292
HyperTMO,SMOTE,TCGA Test,0.572,0.8251,0.7024,0.5893,0.9429,0.5306,0.7253
HyperTMO,SMOTE,CGGA,0.572,0.6892,0.6434,0.5,0.5686,0.6848,0.5321
RGCN,SMOTE,TCGA Test,0.551,0.8338,0.6845,0.7742,0.3429,0.9286,0.4752
RGCN,SMOTE,CGGA,0.551,0.6687,0.6923,0.5854,0.4706,0.8152,0.5217
VEGN,SMOTE,TCGA Test,0.502,0.8289,0.7024,0.5909,0.9286,0.5408,0.7222
VEGN,SMOTE,CGGA,0.502,0.6834,0.465,0.3803,0.7941,0.2826,0.5143
FastHGTConv,SMOTE,TCGA Test,0.558,0.9131,0.8393,0.7722,0.8714,0.8163,0.8188
FastHGTConv,SMOTE,CGGA,0.558,0.7793,0.7308,0.6087,0.6863,0.7554,0.6452
SGNN,SMOTE,TCGA Test,0.559,0.8418,0.75,0.6842,0.7429,0.7551,0.7123
SGNN,SMOTE,CGGA,0.559,0.6273,0.514,0.4011,0.7353,0.3913,0.519
HeteroGATv2,CTGAN,TCGA Test,0.535,0.8758,0.7917,0.6966,0.8857,0.7245,0.7799
HeteroGATv2,CTGAN,CGGA,0.535,0.7417,0.6399,0.4968,0.7647,0.5707,0.6023
MOGAT,CTGAN,TCGA Test,0.555,0.8564,0.7857,0.6977,0.8571,0.7347,0.7692
MOGAT,CTGAN,CGGA,0.555,0.7133,0.6189,0.4768,0.7059,0.5707,0.5692
HyperTMO,CTGAN,TCGA Test,0.542,0.8262,0.744,0.7213,0.6286,0.8265,0.6718
HyperTMO,CTGAN,CGGA,0.542,0.6937,0.7413,0.7414,0.4216,0.9185,0.5375
RGCN,CTGAN,TCGA Test,0.562,0.8188,0.7083,0.5946,0.9429,0.5408,0.7293
RGCN,CTGAN,CGGA,0.562,0.6852,0.5769,0.4451,0.7549,0.4783,0.56
VEGN,CTGAN,TCGA Test,0.56,0.8264,0.744,0.6552,0.8143,0.6939,0.7261
VEGN,CTGAN,CGGA,0.56,0.6873,0.4965,0.396,0.7843,0.337,0.5263
FastHGTConv,CTGAN,TCGA Test,0.558,0.8742,0.8036,0.7467,0.8,0.8061,0.7724
FastHGTConv,CTGAN,CGGA,0.558,0.7418,0.6084,0.4719,0.8235,0.4891,0.6
SGNN,CTGAN,TCGA Test,0.555,0.8341,0.7381,0.6477,0.8143,0.6837,0.7215
SGNN,CTGAN,CGGA,0.555,0.6398,0.7098,0.6508,0.402,0.8804,0.497
HeteroGATv2,ROS,TCGA Test,0.56,0.8987,0.7976,0.725,0.8286,0.7755,0.7733
HeteroGATv2,ROS,CGGA,0.56,0.7734,0.6608,0.5157,0.8039,0.5815,0.6284
MOGAT,ROS,TCGA Test,0.56,0.923,0.8631,0.7901,0.9143,0.8265,0.8477
MOGAT,ROS,CGGA,0.56,0.8092,0.7552,0.6429,0.7059,0.7826,0.6729
HyperTMO,ROS,TCGA Test,0.573,0.8324,0.7798,0.726,0.7571,0.7959,0.7413
HyperTMO,ROS,CGGA,0.573,0.6915,0.6783,0.551,0.5294,0.7609,0.54
RGCN,ROS,TCGA Test,0.56,0.8303,0.7738,0.7353,0.7143,0.8163,0.7246
RGCN,ROS,CGGA,0.56,0.6911,0.6294,0.4857,0.6667,0.6087,0.562
VEGN,ROS,TCGA Test,0.588,0.8261,0.744,0.6753,0.7429,0.7449,0.7075
VEGN,ROS,CGGA,0.588,0.6855,0.7203,0.625,0.5392,0.8207,0.5789
FastHGTConv,ROS,TCGA Test,0.577,0.9171,0.8393,0.7722,0.8714,0.8163,0.8188
FastHGTConv,ROS,CGGA,0.577,0.7215,0.6538,0.5103,0.7255,0.6141,0.5992
SGNN,ROS,TCGA Test,0.542,0.8405,0.7857,0.7073,0.8286,0.7551,0.7632
SGNN,ROS,CGGA,0.542,0.6833,0.4091,0.3676,0.9118,0.1304,0.5239
