Model,Pipeline,Threshold
HeteroGATv2,No Balancing,0.5020000000000003
MOGAT,No Balancing,0.5540000000000004
HyperTMO,No Balancing,0.5200000000000002
RGCN,No Balancing,0.5050000000000002
VEGN,No Balancing,0.5390000000000003
FastHGTConv,No Balancing,0.4740000000000002
SGNN,No Balancing,0.5460000000000003
HeteroGATv2,SMOTE,0.5580000000000004
MOGAT,SMOTE,0.5380000000000005
HyperTMO,SMOTE,0.5720000000000003
RGCN,SMOTE,0.5510000000000004
VEGN,SMOTE,0.5020000000000002
FastHGTConv,SMOTE,0.5580000000000004
SGNN,SMOTE,0.5590000000000003
HeteroGATv2,CTGAN,0.5350000000000004
MOGAT,CTGAN,0.5550000000000003
HyperTMO,CTGAN,0.5420000000000003
RGCN,CTGAN,0.5620000000000004
VEGN,CTGAN,0.5600000000000003
FastHGTConv,CTGAN,0.5580000000000004
SGNN,CTGAN,0.5550000000000004
HeteroGATv2,ROS,0.5600000000000003
MOGAT,ROS,0.5600000000000003
HyperTMO,ROS,0.5730000000000003
RGCN,ROS,0.5600000000000003
VEGN,ROS,0.5880000000000004
FastHGTConv,ROS,0.5770000000000003
SGNN,ROS,0.5420000000000003
