iter	Logloss
0	0.6849729545
1	0.6768092328
2	0.6699681779
3	0.662114798
4	0.6537440083
5	0.6474819357
6	0.6409442037
7	0.6346505592
8	0.6273324828
9	0.6207852935
10	0.6147472081
11	0.6074976367
12	0.6015132871
13	0.5961518096
14	0.5901968712
15	0.5852425574
16	0.5800718314
17	0.5747120374
18	0.5695598335
19	0.564632541
20	0.560005389
21	0.555494183
22	0.5512508701
23	0.5472288462
24	0.5433412784
25	0.5392373844
26	0.5346044573
27	0.5303684337
28	0.5262203727
29	0.5225926457
30	0.5180232355
31	0.5137084231
32	0.5098949015
33	0.506349988
34	0.5032422742
35	0.4991118245
36	0.4957682251
37	0.4928476562
38	0.4899438771
39	0.4871336481
40	0.4836322559
41	0.480647198
42	0.4778676226
43	0.4749439261
44	0.4721646861
45	0.4697000496
46	0.4669905546
47	0.4641833071
48	0.4608660479
49	0.4574703813
50	0.4548368962
51	0.4522945671
52	0.4495264507
53	0.4472350105
54	0.4447721157
55	0.4423244284
56	0.4398112076
57	0.436909073
58	0.4347693901
59	0.4328477976
60	0.4307363647
61	0.4286660341
62	0.4266261915
63	0.4247468322
64	0.4223351276
65	0.4205657319
66	0.4188984753
67	0.4171028477
68	0.4151861222
69	0.4129226402
70	0.4112055886
71	0.4093817983
72	0.4075255547
73	0.405595834
74	0.4039915162
75	0.4023733014
76	0.4006764952
77	0.3990888263
78	0.3973956315
79	0.3952848419
80	0.3939140398
81	0.3926696972
82	0.3912882987
83	0.3900319885
84	0.3886274304
85	0.3873202167
86	0.3857991322
87	0.3845610116
88	0.3833469172
89	0.3821768564
90	0.3810436795
91	0.3799202158
92	0.3789836899
93	0.3778921507
94	0.3767097571
95	0.3750986104
96	0.3741503098
97	0.3730358551
98	0.3724039297
99	0.3711806667
100	0.3699802713
101	0.3689760795
102	0.3680146924
103	0.3670214578
104	0.3660364608
105	0.3651663907
106	0.3645853079
107	0.3633182786
108	0.3626248846
109	0.3614964889
110	0.3602071285
111	0.3589352807
112	0.3580671762
113	0.3572546048
114	0.3566235503
115	0.3556424438
116	0.3552421221
117	0.3543855966
118	0.353587101
119	0.3528250797
120	0.3518318823
121	0.350901937
122	0.3498217642
123	0.3492059421
124	0.3485021905
125	0.3477683238
126	0.3471955111
127	0.346192444
128	0.3454700449
129	0.3444544956
130	0.3439240169
131	0.3430943006
132	0.3423193011
133	0.3413730999
134	0.3406427544
135	0.3399370484
136	0.3391245633
137	0.3386359913
138	0.3378614561
139	0.3370189132
140	0.3366122013
141	0.3360612699
142	0.3354463026
143	0.3347498799
144	0.3342912847
145	0.3339710447
146	0.333273409
147	0.3326456274
148	0.3322976417
149	0.3317417757
150	0.3310571717
151	0.3307213538
152	0.3300231254
153	0.329517659
154	0.3290574722
155	0.3284638352
156	0.3279687106
157	0.3274350548
158	0.3271350047
159	0.326497214
160	0.3259106562
161	0.325564429
162	0.3250796576
163	0.3244401777
164	0.3237125979
165	0.3234107323
166	0.3230904529
167	0.3226950569
168	0.3220842044
169	0.3216047431
170	0.3211885989
171	0.3206939287
172	0.3202050163
173	0.3198193733
174	0.3194033755
175	0.3189953527
176	0.3184032834
177	0.3179989457
178	0.3175520643
179	0.3171459469
180	0.3167124274
181	0.316422561
182	0.3159434582
183	0.3152676738
184	0.3148990785
185	0.314383371
186	0.3139422518
187	0.313543537
188	0.3131628804
189	0.3125402359
190	0.3121304682
191	0.3116536617
192	0.3113701817
193	0.3109469506
194	0.3106478935
195	0.3102108122
196	0.310015833
197	0.3097021445
198	0.3093161911
199	0.3088758136
200	0.3085471747
201	0.3079473908
202	0.3075809142
203	0.3072607827
204	0.3069688022
205	0.3065573667
206	0.3060665981
207	0.3057956015
208	0.305616754
209	0.305345151
210	0.30477844
211	0.3045360875
212	0.3039107246
213	0.3035567924
214	0.3032117558
215	0.3029616748
216	0.3024724593
217	0.3022440494
218	0.3017701275
219	0.3014428812
220	0.3010923971
221	0.3007410178
222	0.3004128729
223	0.2999791341
224	0.2996763359
225	0.2993241219
226	0.2990305539
227	0.2987857115
228	0.2984645083
229	0.298238444
230	0.2979862865
231	0.297618164
232	0.2973189686
233	0.2970261159
234	0.2968389124
235	0.2966366884
236	0.2962798162
237	0.2958928409
238	0.2956077041
239	0.2952954397
240	0.29511363
241	0.2946760213
242	0.2943154051
243	0.2940209957
244	0.2936853432
