Model,Dataset,Accuracy,Precision,Recall,F1,ROC_AUC,CV_F1_Avg
RandomForest,Validation,0.8809523809523809,0.8861809266445875,0.8809523809523809,0.8815668202764977,0.9131697400900246,0.8559349245686363
RandomForest,Test,0.7976190476190477,0.7999329116350393,0.7976190476190477,0.7983217592592592,0.8974489795918367,0.8559349245686363
RandomForest,External (CGGA),0.6328671328671329,0.6905378295676252,0.6328671328671329,0.6398374647401884,0.7387574595055414,0.8559349245686363
LogisticRegression,Validation,0.8869047619047619,0.8958367096129433,0.8869047619047619,0.8875712397891762,0.9226078118193698,0.8744919122205526
LogisticRegression,Test,0.8690476190476191,0.8797031574966913,0.8690476190476191,0.8699466056445461,0.9131195335276968,0.8744919122205526
LogisticRegression,External (CGGA),0.6888111888111889,0.7245649177817729,0.6888111888111889,0.6953063984817379,0.7480818414322251,0.8744919122205526
XGBoost,Validation,0.8630952380952381,0.867404354904355,0.8630952380952381,0.8637487331723415,0.9120081312617976,0.8402775649622324
XGBoost,Test,0.8273809523809523,0.832084582084582,0.8273809523809523,0.8282942806752329,0.8896501457725947,0.8402775649622324
XGBoost,External (CGGA),0.6328671328671329,0.6690260749870205,0.6328671328671329,0.640530020680702,0.6936274509803922,0.8402775649622324
AdaBoost,Validation,0.875,0.8869756235827664,0.875,0.8757529852076279,0.9244228256134747,0.8677108667312782
AdaBoost,Test,0.8571428571428571,0.874645490640953,0.8571428571428571,0.8581196581196581,0.9126093294460642,0.8677108667312782
AdaBoost,External (CGGA),0.6888111888111889,0.7271957682816084,0.6888111888111889,0.6953388088139861,0.7511988491048593,0.8677108667312782
ExtraTrees,Validation,0.8452380952380952,0.847183819764465,0.8452380952380952,0.8457290486490198,0.889647161318426,0.843968659829366
ExtraTrees,Test,0.8035714285714286,0.8027560218708438,0.8035714285714286,0.8029013681546417,0.8873177842565598,0.843968659829366
ExtraTrees,External (CGGA),0.6293706293706294,0.6946761571761572,0.6293706293706294,0.6357227111721079,0.7053495311167945,0.843968659829366
CatBoost,Validation,0.8869047619047619,0.8958367096129433,0.8869047619047619,0.8875712397891762,0.9361115144475097,0.8728945290085365
CatBoost,Test,0.8333333333333334,0.839031339031339,0.8333333333333334,0.8342917385470576,0.9201166180758018,0.8728945290085365
CatBoost,External (CGGA),0.6573426573426573,0.7311061589350274,0.6573426573426573,0.6625627554420125,0.7354806052855924,0.8728945290085365
LightGBM,Validation,0.8333333333333334,0.8411380729388392,0.8333333333333334,0.8342868039664378,0.9109917235370988,0.8523854270549698
LightGBM,Test,0.8035714285714286,0.8084415584415584,0.8035714285714286,0.8046107331821617,0.9037900874635569,0.8523854270549698
LightGBM,External (CGGA),0.6328671328671329,0.6739693872561006,0.6328671328671329,0.6405704387355764,0.7133684995737425,0.8523854270549698
RidgeClassifier,Validation,0.8690476190476191,0.8794758867402382,0.8690476190476191,0.8698325484039768,,0.8728144802124268
RidgeClassifier,Test,0.875,0.8872076541459958,0.875,0.8758705668059573,,0.8728144802124268
RidgeClassifier,External (CGGA),0.6818181818181818,0.7285674243536526,0.6818181818181818,0.6884051827913963,,0.8728144802124268
