iter	Logloss
0	0.6866160354
1	0.6806678249
2	0.6730717698
3	0.6664979491
4	0.6604255781
5	0.6545219421
6	0.6479846484
7	0.6425672035
8	0.6366005466
9	0.6303821198
10	0.6254984189
11	0.6204946858
12	0.6155989137
13	0.6096248365
14	0.6054158668
15	0.6002096934
16	0.5954839628
17	0.5901328309
18	0.5850409416
19	0.5808131074
20	0.5764259443
21	0.5723168883
22	0.5682505777
23	0.564427415
24	0.5609952326
25	0.5570324414
26	0.5525649606
27	0.5488941767
28	0.5450265963
29	0.5405404078
30	0.5372239204
31	0.5339153238
32	0.5298193318
33	0.526538065
34	0.5227717569
35	0.5201129129
36	0.5171437721
37	0.5136478894
38	0.5097173926
39	0.507219393
40	0.5043023514
41	0.5010456974
42	0.4978747433
43	0.4945665124
44	0.4916849006
45	0.4891714854
46	0.4868766053
47	0.4838097455
48	0.4811283268
49	0.4785397151
50	0.4755196245
51	0.4727761256
52	0.4702334469
53	0.4679830368
54	0.4651440137
55	0.4626969638
56	0.4606046807
57	0.4581691272
58	0.4565961132
59	0.4539830979
60	0.4515966128
61	0.449206313
62	0.4470787571
63	0.4451942966
64	0.4428565665
65	0.4409460825
66	0.4391639396
67	0.4378715933
68	0.4361909056
69	0.4344609404
70	0.4324847182
71	0.4301572565
72	0.4280725505
73	0.4267377984
74	0.4253637235
75	0.4235396451
76	0.4220251057
77	0.4205228205
78	0.4189187141
79	0.4173128834
80	0.4152842482
81	0.4141342215
82	0.4122611529
83	0.4112771701
84	0.4098224379
85	0.4086140411
86	0.4073720697
87	0.4061088039
88	0.404809795
89	0.4036623811
90	0.4023810086
91	0.4010347601
92	0.399550451
93	0.3984530723
94	0.3968421466
95	0.395202689
96	0.3936350052
97	0.3924832279
98	0.3914341077
99	0.3900411945
100	0.3887133664
101	0.3879086481
102	0.3868824162
103	0.3857006178
104	0.3844151954
105	0.3833454864
106	0.3823866126
107	0.3814114087
108	0.3806056192
109	0.3794330701
110	0.3790558593
111	0.3781956189
112	0.3772429375
113	0.3763438186
114	0.3754022938
115	0.3743084947
116	0.3737765796
117	0.3728183067
118	0.3717031348
119	0.370749356
120	0.3700199388
121	0.3692135223
122	0.3684185498
123	0.3674035007
124	0.3663168868
125	0.3655654698
126	0.3642700927
127	0.3633160526
128	0.3623303453
129	0.3614467464
130	0.3609652062
131	0.3602715845
132	0.3593879595
133	0.3585145767
134	0.3575519405
135	0.3568834279
136	0.3558239872
137	0.3549483835
138	0.3541521308
139	0.3536898731
140	0.3532455131
141	0.3524882434
142	0.3518190253
143	0.3508522347
144	0.3503536329
145	0.3495105325
146	0.3487715264
147	0.3480297245
148	0.3473460054
149	0.3466898252
150	0.345961218
151	0.3455200718
152	0.3446675392
153	0.343998295
154	0.3433545256
155	0.3427921452
156	0.3420972955
157	0.3413745932
158	0.3406828789
159	0.3399575638
160	0.3390978722
161	0.3384238726
162	0.3376187364
163	0.3372413426
164	0.3366302333
165	0.336251298
166	0.3357541071
167	0.3352236029
168	0.3346837187
169	0.3340823552
170	0.3333800329
171	0.3327601446
172	0.3323482095
173	0.3316963144
174	0.3312056816
175	0.3306588996
176	0.3300043132
177	0.3293962087
178	0.3288582057
179	0.3283093335
180	0.327957284
181	0.3272411399
182	0.3268769408
183	0.3263877451
184	0.3258634071
185	0.3252779294
186	0.3247803205
187	0.3243707631
188	0.3238894319
189	0.3234102955
190	0.3229209691
191	0.3225605586
192	0.3219145683
193	0.3216520858
194	0.3211221042
195	0.3208037076
196	0.3204950045
197	0.3201249266
198	0.3197926299
199	0.3195385606
200	0.3189085346
201	0.3185832925
202	0.3181655309
203	0.3176047965
204	0.3174139049
205	0.3171313038
206	0.3166972644
207	0.3162822462
208	0.3159929563
209	0.315553221
210	0.3151269155
211	0.3148230461
212	0.3142206375
213	0.3137770352
214	0.3134298194
215	0.3129584169
216	0.3126021085
217	0.3122537691
218	0.3118221074
219	0.3114702669
220	0.3112155967
221	0.3109266725
222	0.3106081192
223	0.3102814139
224	0.3098275694
225	0.3095229162
226	0.3091838001
227	0.3087388653
228	0.3084016042
229	0.307894772
230	0.3076252349
231	0.3073419806
232	0.30684526
233	0.3066162475
234	0.3061106956
235	0.3056744353
236	0.3052994715
237	0.304874995
238	0.3045083399
239	0.3042175607
240	0.303978724
241	0.3035646465
242	0.3032588697
243	0.3030261993
244	0.3026389553
245	0.3022576424
246	0.3020244755
247	0.301665293
248	0.3013899816
249	0.3010540792
250	0.300961403
251	0.3006075506
252	0.300174896
253	0.2998164974
254	0.2996033708
255	0.2991900509
256	0.2989756702
257	0.2988569443
258	0.2985459419
259	0.2981792607
260	0.2978390733
261	0.2974435989
262	0.297179209
263	0.2968574942
264	0.2965829144
265	0.2962200217
266	0.2958831526
267	0.2957217334
268	0.2954319471
269	0.2951818492
270	0.2947053517
271	0.2944340641
272	0.2941995124
273	0.2940326847
274	0.2938571825
275	0.2935995337
276	0.2932343679
277	0.2930937467
278	0.2926938828
279	0.2924839699
280	0.29211674
281	0.2918340605
282	0.2915587752
283	0.2914337263
284	0.2911235862
285	0.2909321197
286	0.2906478986
287	0.2901480165
288	0.2899646498
289	0.2897944516
290	0.2895186437
291	0.2892701136
292	0.2890193364
293	0.2887578468
294	0.2885012169
295	0.2881525641
296	0.2876676795
297	0.2874954171
298	0.2873083141
299	0.287040815
300	0.2866891574
301	0.2862790774
302	0.2861278482
303	0.2858811992
304	0.285614484
305	0.2853553981
306	0.285179922
307	0.2849151925
308	0.2846672372
309	0.284441543
310	0.2842634018
311	0.2840249832
312	0.2839251479
313	0.2837612204
314	0.2834763723
315	0.2833701356
316	0.2829705852
317	0.2827744157
318	0.2827139031
319	0.2823414215
