iter	Passed	Remaining
0	1	1643
1	2	1304
2	4	1397
3	4	1227
4	6	1288
5	7	1196
6	7	1124
7	8	1071
8	9	1030
9	10	1037
10	11	1011
11	12	1061
12	13	1036
13	14	1015
14	15	996
15	16	1040
16	18	1084
17	19	1090
18	21	1085
19	22	1111
20	23	1098
21	24	1106
22	25	1093
23	27	1118
24	28	1098
25	29	1087
26	30	1096
27	32	1135
28	34	1141
29	35	1144
30	37	1157
31	39	1185
32	40	1172
33	40	1162
34	42	1177
35	43	1171
36	45	1174
37	46	1178
38	48	1194
39	49	1191
40	51	1198
41	52	1189
42	54	1212
43	55	1202
44	56	1192
45	57	1194
46	58	1178
47	59	1189
48	60	1180
49	61	1171
50	62	1162
51	63	1161
52	64	1150
53	65	1142
54	66	1134
55	66	1126
56	68	1128
57	69	1127
58	69	1114
59	70	1107
60	71	1101
61	72	1094
62	73	1096
63	74	1090
64	76	1100
65	77	1094
66	79	1103
67	79	1092
68	81	1098
69	82	1099
70	84	1100
71	84	1095
72	85	1090
73	86	1085
74	87	1084
75	88	1079
76	90	1080
77	91	1081
78	92	1080
79	94	1081
80	94	1076
81	96	1077
82	97	1073
83	97	1063
84	99	1066
85	99	1059
86	100	1058
87	101	1054
88	102	1048
89	103	1041
90	103	1036
91	105	1040
92	106	1035
93	106	1030
94	107	1025
95	108	1019
96	109	1014
97	109	1010
98	110	1005
99	111	1001
100	112	997
101	112	992
102	113	987
103	114	982
104	114	978
105	115	973
106	116	968
107	117	966
108	117	962
109	118	957
110	119	957
111	120	953
112	120	949
113	121	945
114	122	944
115	123	940
116	123	934
117	124	930
118	125	926
119	125	923
120	126	919
121	127	915
122	129	920
123	129	917
124	130	913
125	131	910
126	131	906
127	132	903
128	133	902
129	134	899
130	135	896
131	135	893
132	136	889
133	137	886
134	137	883
135	138	880
136	139	877
137	140	876
138	140	873
139	141	870
140	142	867
141	143	864
142	143	862
143	144	859
144	145	856
145	147	860
146	147	857
147	148	854
148	149	852
149	149	849
150	151	849
151	152	848
152	152	846
153	153	843
154	155	845
155	155	842
156	156	840
157	157	838
158	158	836
159	159	836
160	159	833
161	161	836
162	163	840
163	164	839
164	165	838
165	166	836
166	167	834
167	168	833
168	169	832
169	170	831
170	171	829
171	171	827
172	172	826
173	174	826
174	175	826
175	175	823
176	177	825
177	178	823
178	179	822
179	180	821
180	180	818
181	182	819
182	183	817
183	183	815
184	185	817
185	186	816
186	187	816
187	188	814
188	189	814
189	190	812
190	191	811
191	192	809
192	193	808
193	194	807
194	195	805
195	195	803
196	197	803
197	197	801
198	198	799
199	199	797
200	200	795
201	200	793
202	201	791
203	202	788
204	202	787
205	203	785
206	204	783
207	204	780
208	205	777
209	205	774
210	206	771
211	206	768
212	207	766
213	208	764
214	208	762
215	210	762
216	210	759
217	211	756
218	211	754
219	212	751
220	212	749
221	213	747
222	214	745
223	214	744
224	215	742
225	216	740
226	216	738
227	217	736
228	218	734
229	218	732
230	219	730
231	220	728
232	220	727
233	221	725
234	222	724
235	223	722
236	223	720
237	224	718
238	225	716
239	225	714
240	226	714
241	227	712
242	228	710
243	228	709
244	230	708
245	230	707
246	232	707
247	232	705
248	233	705
249	234	703
250	235	702
251	236	701
252	237	699
253	238	699
254	238	697
255	239	696
256	240	694
257	241	695
258	242	693
259	243	693
260	244	691
261	245	690
262	246	689
263	247	689
264	248	688
265	249	687
266	250	687
267	251	686
268	252	685
269	252	683
270	254	684
271	255	683
272	256	682
273	257	681
274	258	680
275	258	678
276	260	679
277	261	680
278	263	679
279	263	678
280	264	676
281	265	675
282	266	674
283	267	673
284	268	672
285	269	671
286	269	670
287	270	668
288	271	666
289	271	665
290	272	664
291	273	663
292	274	662
293	275	661
294	276	660
295	277	660
296	278	658
297	278	656
298	279	655
299	280	653
300	280	652
301	281	650
302	282	650
303	283	648
304	283	647
305	284	645
306	285	643
307	285	642
308	286	640
309	287	638
310	287	637
311	288	636
312	289	635
313	290	633
314	290	632
315	291	630
316	292	629
317	292	627
318	293	626
319	294	625
320	295	624
321	295	622
322	296	621
323	297	619
324	297	618
325	298	616
326	299	615
327	300	614
328	300	613
329	301	612
330	302	610
331	302	609
332	303	607
333	304	606
334	304	605
335	305	604
336	306	602
337	307	601
338	307	600
339	308	599
340	309	597
341	309	596
342	311	595
343	312	595
344	312	593
345	313	592
346	314	590
347	314	589
348	315	588
349	315	586
350	317	586
351	318	585
352	319	585
353	319	583
354	320	583
355	321	581
356	322	581
357	323	580
358	324	579
359	325	578
360	326	578
361	327	576
362	327	575
363	329	575
364	330	574
365	331	574
366	332	572
367	332	571
368	333	570
369	334	569
370	335	569
371	336	568
372	337	567
373	338	567
374	339	565
375	341	565
376	342	565
377	342	564
378	343	563
379	344	562
380	345	561
381	346	560
382	347	559
383	347	558
384	348	556
385	349	556
386	350	555
387	352	556
388	353	555
389	354	555
390	355	553
391	356	552
392	356	551
393	357	550
394	358	549
395	359	548
396	360	547
397	360	545
398	361	544
399	361	542
400	362	541
401	363	540
402	364	539
403	365	539
404	366	538
405	367	537
406	367	536
407	368	534
408	369	533
409	370	532
410	371	532
411	372	531
412	373	530
413	373	529
414	374	528
415	375	526
416	376	526
417	377	525
418	378	524
419	379	524
420	380	523
421	381	521
422	382	521
423	383	520
424	384	519
425	385	518
426	386	518
427	387	517
428	387	516
429	390	517
430	391	516
431	392	515
432	393	515
433	394	514
434	395	513
435	395	512
436	397	511
437	398	510
438	398	509
439	401	510
440	401	509
441	402	508
442	403	506
443	403	505
444	404	504
445	405	503
446	405	502
447	406	500
448	407	499
449	407	498
450	408	497
451	409	496
452	409	495
453	410	493
454	411	492
455	412	491
456	413	491
457	414	490
458	414	489
459	415	487
460	416	486
461	416	485
462	417	484
463	418	483
464	419	482
465	419	481
466	420	480
467	421	478
468	422	477
469	422	476
470	423	475
471	424	474
472	425	473
473	425	472
474	426	471
475	427	470
476	428	469
477	428	468
478	429	467
479	430	466
480	430	465
481	431	463
482	432	462
483	433	461
484	433	460
485	434	459
486	435	458
487	436	457
