Model,Dataset,Accuracy,Precision,Recall,F1,ROC_AUC,CV_F1_Avg
RandomForest,Validation,0.8571428571428571,0.8648462364937459,0.8571428571428571,0.8579601176855179,0.9015536518077538,0.8471788049239454
RandomForest,Test,0.8214285714285714,0.823605520414031,0.8214285714285714,0.822048611111111,0.9029154518950437,0.8471788049239454
RandomForest,External (CGGA),0.6993006993006993,0.710034184882055,0.6993006993006993,0.7030101500634854,0.7578857630008525,0.8471788049239454
LogisticRegression,Validation,0.8869047619047619,0.8958367096129433,0.8869047619047619,0.8875712397891762,0.9227530129228982,0.8761760779764799
LogisticRegression,Test,0.875,0.8872076541459958,0.875,0.8758705668059573,0.9126822157434402,0.8761760779764799
LogisticRegression,External (CGGA),0.6888111888111889,0.7245649177817729,0.6888111888111889,0.6953063984817379,0.7460571184995738,0.8761760779764799
XGBoost,Validation,0.8511904761904762,0.8538295466928192,0.8511904761904762,0.8517528704603534,0.9001016407724698,0.8489146304018945
XGBoost,Test,0.8035714285714286,0.8066308243727598,0.8035714285714286,0.8043870734789673,0.8962099125364432,0.8489146304018945
XGBoost,External (CGGA),0.6713286713286714,0.6943795919270603,0.6713286713286714,0.6774123918288678,0.7445918584825235,0.8489146304018945
AdaBoost,Validation,0.875,0.8869756235827664,0.875,0.8757529852076279,0.9335704951357631,0.8674831571420887
AdaBoost,Test,0.8690476190476191,0.8829365079365078,0.8690476190476191,0.8699633699633699,0.9186588921282799,0.8674831571420887
AdaBoost,External (CGGA),0.6853146853146853,0.7250538975891089,0.6853146853146853,0.6919204346233534,0.7524243393009378,0.8674831571420887
ExtraTrees,Validation,0.8273809523809523,0.8301562329737386,0.8273809523809523,0.8280333297340101,0.8737476404820677,0.8353262465592326
ExtraTrees,Test,0.7916666666666666,0.7921325202071536,0.7916666666666666,0.7918712493180577,0.8724489795918368,0.8353262465592326
ExtraTrees,External (CGGA),0.6923076923076923,0.69815638906548,0.6923076923076923,0.6946944041283664,0.7568467604433078,0.8353262465592326
CatBoost,Validation,0.8928571428571429,0.9004084818261064,0.8928571428571429,0.8934700882641387,0.9334252940322345,0.8728481368234767
CatBoost,Test,0.8333333333333334,0.839031339031339,0.8333333333333334,0.8342917385470576,0.9206997084548105,0.8728481368234767
CatBoost,External (CGGA),0.7097902097902098,0.733203990499206,0.7097902097902098,0.7152612783111317,0.7732843137254902,0.8728481368234767
LightGBM,Validation,0.8630952380952381,0.867404354904355,0.8630952380952381,0.8637487331723415,0.9088863075359372,0.8451756034970961
LightGBM,Test,0.8214285714285714,0.823605520414031,0.8214285714285714,0.822048611111111,0.8940233236151605,0.8451756034970961
LightGBM,External (CGGA),0.6993006993006993,0.6993006993006993,0.6993006993006993,0.6993006993006993,0.7593243819266836,0.8451756034970961
RidgeClassifier,Validation,0.8690476190476191,0.8794758867402382,0.8690476190476191,0.8698325484039768,,0.8728037307141168
RidgeClassifier,Test,0.8690476190476191,0.8829365079365078,0.8690476190476191,0.8699633699633699,,0.8728037307141168
RidgeClassifier,External (CGGA),0.6818181818181818,0.7285674243536526,0.6818181818181818,0.6884051827913963,,0.8728037307141168
