Pipeline,CTGAN,CTGAN,No Balancing,No Balancing,ROS,ROS,SMOTE,SMOTE
Dataset,CGGA,TCGA Test,CGGA,TCGA Test,CGGA,TCGA Test,CGGA,TCGA Test
Model,,,,,,,,
FastHGTConv,0.6084,0.8036,0.6399,0.8274,0.6538,0.8393,0.7308,0.8393
HeteroGATv2,0.6399,0.7917,0.6364,0.7976,0.6608,0.7976,0.7028,0.7976
HyperTMO,0.7413,0.744,0.5734,0.5655,0.6783,0.7798,0.6434,0.7024
MOGAT,0.6189,0.7857,0.6748,0.8512,0.7552,0.8631,0.6538,0.8393
RGCN,0.5769,0.7083,0.5385,0.7381,0.6294,0.7738,0.6923,0.6845
SGNN,0.7098,0.7381,0.6958,0.7738,0.4091,0.7857,0.514,0.75
VEGN,0.4965,0.744,0.542,0.744,0.7203,0.744,0.465,0.7024
