Pipeline,CTGAN,CTGAN,No Balancing,No Balancing,ROS,ROS,SMOTE,SMOTE
Dataset,CGGA,TCGA Test,CGGA,TCGA Test,CGGA,TCGA Test,CGGA,TCGA Test
Model,,,,,,,,
FastHGTConv,0.7418,0.8742,0.7886,0.9115,0.7215,0.9171,0.7793,0.9131
HeteroGATv2,0.7417,0.8758,0.7732,0.8952,0.7734,0.8987,0.7863,0.8726
HyperTMO,0.6937,0.8262,0.6956,0.8245,0.6915,0.8324,0.6892,0.8251
MOGAT,0.7133,0.8564,0.7688,0.9206,0.8092,0.923,0.7919,0.9184
RGCN,0.6852,0.8188,0.6819,0.8259,0.6911,0.8303,0.6687,0.8338
SGNN,0.6398,0.8341,0.6401,0.8469,0.6833,0.8405,0.6273,0.8418
VEGN,0.6873,0.8264,0.6847,0.8287,0.6855,0.8261,0.6834,0.8289
