Model,Dataset,AUC,F1,Accuracy
FastHGTConv,CGGA,0.7418,0.6,0.6084
FastHGTConv,TCGA Test,0.8742,0.7724,0.8036
HeteroGATv2,CGGA,0.7417,0.6023,0.6399
HeteroGATv2,TCGA Test,0.8758,0.7799,0.7917
HyperTMO,CGGA,0.6937,0.5375,0.7413
HyperTMO,TCGA Test,0.8262,0.6718,0.744
MOGAT,CGGA,0.7133,0.5692,0.6189
MOGAT,TCGA Test,0.8564,0.7692,0.7857
RGCN,CGGA,0.6852,0.56,0.5769
RGCN,TCGA Test,0.8188,0.7293,0.7083
SGNN,CGGA,0.6398,0.497,0.7098
SGNN,TCGA Test,0.8341,0.7215,0.7381
VEGN,CGGA,0.6873,0.5263,0.4965
VEGN,TCGA Test,0.8264,0.7261,0.744
