,AUC,AUC,AUC,AUC,F1,F1,F1,F1,Accuracy,Accuracy,Accuracy,Accuracy
,mean,std,min,max,mean,std,min,max,mean,std,min,max
Model,,,,,,,,,,,,
FastHGTConv,0.8309,0.0819,0.7215,0.9171,0.7086,0.101,0.5992,0.8188,0.7428,0.0972,0.6084,0.8393
HeteroGATv2,0.8271,0.0643,0.7417,0.8987,0.703,0.0818,0.6023,0.7821,0.728,0.0755,0.6364,0.7976
HyperTMO,0.7598,0.072,0.6892,0.8324,0.6192,0.0889,0.5321,0.7413,0.6785,0.0794,0.5655,0.7798
MOGAT,0.8377,0.0794,0.7133,0.923,0.7237,0.1085,0.5692,0.8477,0.7552,0.0958,0.6189,0.8631
RGCN,0.7545,0.0781,0.6687,0.8338,0.6032,0.1081,0.4752,0.7349,0.6677,0.0803,0.5385,0.7738
SGNN,0.7442,0.1046,0.6273,0.8469,0.6205,0.1219,0.4912,0.7632,0.672,0.1362,0.4091,0.7857
VEGN,0.7564,0.0761,0.6834,0.8289,0.6267,0.0983,0.5143,0.7261,0.6448,0.1216,0.465,0.744
