Model,Dataset,AUC,F1,Accuracy
FastHGTConv,CGGA,0.7886,0.6199,0.6399
FastHGTConv,TCGA Test,0.9115,0.7943,0.8274
HeteroGATv2,CGGA,0.7732,0.6312,0.6364
HeteroGATv2,TCGA Test,0.8952,0.7792,0.7976
HyperTMO,CGGA,0.6956,0.5515,0.5734
HyperTMO,TCGA Test,0.8245,0.654,0.5655
MOGAT,CGGA,0.7688,0.6409,0.6748
MOGAT,TCGA Test,0.9206,0.8322,0.8512
RGCN,CGGA,0.6819,0.5182,0.5385
RGCN,TCGA Test,0.8259,0.7349,0.7381
SGNN,CGGA,0.6401,0.4912,0.6958
SGNN,TCGA Test,0.8469,0.7361,0.7738
VEGN,CGGA,0.6847,0.5271,0.542
VEGN,TCGA Test,0.8287,0.7114,0.744
