Model,Dataset,AUC,F1,Accuracy
FastHGTConv,CGGA,0.7215,0.5992,0.6538
FastHGTConv,TCGA Test,0.9171,0.8188,0.8393
HeteroGATv2,CGGA,0.7734,0.6284,0.6608
HeteroGATv2,TCGA Test,0.8987,0.7733,0.7976
HyperTMO,CGGA,0.6915,0.54,0.6783
HyperTMO,TCGA Test,0.8324,0.7413,0.7798
MOGAT,CGGA,0.8092,0.6729,0.7552
MOGAT,TCGA Test,0.923,0.8477,0.8631
RGCN,CGGA,0.6911,0.562,0.6294
RGCN,TCGA Test,0.8303,0.7246,0.7738
SGNN,CGGA,0.6833,0.5239,0.4091
SGNN,TCGA Test,0.8405,0.7632,0.7857
VEGN,CGGA,0.6855,0.5789,0.7203
VEGN,TCGA Test,0.8261,0.7075,0.744
