Model,Pipeline,TCGA_AUC,CGGA_AUC,Gap,Percent_Drop
SGNN,SMOTE,0.8418,0.6273,0.21450000000000002,25.481111903064864
SGNN,No Balancing,0.8469,0.6401,0.20679999999999998,24.418467351517297
FastHGTConv,ROS,0.9171,0.7215,0.1956,21.328099443899244
SGNN,CTGAN,0.8341,0.6398,0.19429999999999992,23.29456899652319
RGCN,SMOTE,0.8338,0.6687,0.16510000000000002,19.80091148956585
SGNN,ROS,0.8405,0.6833,0.1572,18.70315288518739
MOGAT,No Balancing,0.9206,0.7688,0.15179999999999993,16.48924614381924
VEGN,SMOTE,0.8289,0.6834,0.14549999999999996,17.5533840028954
RGCN,No Balancing,0.8259,0.6819,0.14400000000000002,17.43552488194697
VEGN,No Balancing,0.8287,0.6847,0.14400000000000002,17.37661397369374
MOGAT,CTGAN,0.8564,0.7133,0.1431,16.709481550677253
HyperTMO,ROS,0.8324,0.6915,0.14090000000000003,16.92695819317636
VEGN,ROS,0.8261,0.6855,0.14059999999999995,17.019731267401035
RGCN,ROS,0.8303,0.6911,0.1392,16.76502468987113
VEGN,CTGAN,0.8264,0.6873,0.1391,16.832042594385285
HyperTMO,SMOTE,0.8251,0.6892,0.1358999999999999,16.470730820506596
HeteroGATv2,CTGAN,0.8758,0.7417,0.1341,15.311715003425439
FastHGTConv,SMOTE,0.9131,0.7793,0.13380000000000003,14.65337860037236
RGCN,CTGAN,0.8188,0.6852,0.13359999999999994,16.31656082071323
HyperTMO,CTGAN,0.8262,0.6937,0.13250000000000006,16.03727910917454
FastHGTConv,CTGAN,0.8742,0.7418,0.13239999999999996,15.14527568062228
HyperTMO,No Balancing,0.8245,0.6956,0.12890000000000001,15.633717404487571
MOGAT,SMOTE,0.9184,0.7919,0.12649999999999995,13.773954703832747
HeteroGATv2,ROS,0.8987,0.7734,0.12530000000000008,13.942361188383229
FastHGTConv,No Balancing,0.9115,0.7886,0.12290000000000001,13.483269336258916
HeteroGATv2,No Balancing,0.8952,0.7732,0.122,13.628239499553171
MOGAT,ROS,0.923,0.8092,0.11380000000000001,12.329360780065006
HeteroGATv2,SMOTE,0.8726,0.7863,0.08630000000000004,9.889983955993586
